ItemNumber,JointNumber,JointLengthft,DisttoUSGWft,DisttoDSGWft,AbsoluteDistanceft,Feature,ExtInt,Depth,Depthin,Lengthin,Widthin,Oclockhhmm,Comments,PipeType,WTin,PipeGrade,PipeODin,MOP,LongSeam,ERF,SafeBurstPressure,BurstPressure,Latitudedeg,Longitudedeg,Elevationft
1,10,2.45,,2.45,-1.25,Girth Weld,,,,,,,,Valve,,,8.625,680,,,,,33.88475905,-118.01984561,66.99
2,10,2.45,0.37,2.07,-0.88,Flange,,,,,,,,Valve,,,8.625,680,,,,,33.88476388,-118.01985035,67.00
3,10,2.45,1.25,1.20,0.00,Valve - AGM VALVE 109,,,,,,,Northam Station,Valve,,,8.625,680,,,,,33.88476392,-118.01985039,67.00
4,10,2.45,2.07,0.38,0.82,Flange,,,,,,,,Valve,,,8.625,680,,,,,33.88476649,-118.01985294,67.00
5,20,24.74,2.45,24.74,1.20,Girth Weld,,,,,,,,ERW,0.250,X35,8.625,680,,,,,33.88476788,-118.01985433,67.00
6,30,47.43,24.74,47.43,25.94,Girth Weld,,,,,,,,ERW,0.250,X35,8.625,680,01:48,,,,33.88481224,-118.01989864,66.87
7,40,48.66,47.43,48.66,73.37,Girth Weld,,,,,,,,ERW,0.250,X35,8.625,680,10:43,,,,33.88492004,-118.02000583,66.71
8,50,26.03,48.66,26.03,122.03,Girth Weld,,,,,,,,ERW,0.250,X35,8.625,680,00:26,,,,33.88502515,-118.02010680,66.13
9,60,0.14,26.03,0.14,148.07,Girth Weld,,,,,,,,Elbow,,,8.625,680,,,,,33.88508110,-118.02016052,66.00
10,60,0.14,0.08,0.06,148.14,Bend,,,,,,08:54,5° 1.5D Left Forged Bend,Elbow,,,8.625,680,,,,,33.88508125,-118.02016066,66.00
11,70,47.62,0.14,47.62,148.20,Girth Weld,,,,,,,,SMLS,0.280,X35,8.625,680,,,,,33.88508139,-118.02016080,66.00
12,70,47.62,2.92,44.70,151.12,Casing Start,,,,,,,,SMLS,0.280,X35,8.625,680,,,,,33.88508743,-118.02016760,66.00
13,80,13.14,47.62,13.14,195.82,Girth Weld,,,,,,,,SMLS,0.280,X35,8.625,680,,,,,33.88517678,-118.02026957,65.77
14,80,13.14,11.37,1.77,207.19,Casing End,,,,,,,,SMLS,0.280,X35,8.625,680,,,,,33.88519927,-118.02029568,65.54
15,90,0.17,13.14,0.17,208.96,Girth Weld,,,,,,,,SMLS,0.280,X35,8.625,680,,,,,33.88520280,-118.02029982,65.51
16,100,1.55,0.17,1.55,209.13,Girth Weld,,,,,,,,Elbow,,,8.625,680,,,,,33.88520309,-118.02030021,65.54
17,100,1.55,0.76,0.79,209.89,Bend,,,,,,11:52,30° 3D Sag Forged Bend,Elbow,,,8.625,680,,,,,33.88520445,-118.02030209,65.72
18,110,1.60,1.55,1.60,210.68,Girth Weld,,,,,,,,Elbow,,,8.625,680,,,,,33.88520567,-118.02030375,66.09
19,110,1.60,0.83,0.77,211.51,Bend,,,,,,06:36,30° 3D Over Forged Bend,Elbow,,,8.625,680,,,,,33.88520700,-118.02030554,66.51
20,120,1.62,1.60,1.62,212.28,Girth Weld,,,,,,,,Elbow,,,8.625,680,,,,,33.88520825,-118.02030754,66.67
21,120,1.62,0.85,0.77,213.13,Bend,,,,,,08:39,45° 3D Left Forged Bend,Elbow,,,8.625,680,,,,,33.88520924,-118.02031013,66.70
22,130,7.41,1.62,7.41,213.90,Girth Weld,,,,,,,,SMLS,0.280,X35,8.625,680,,,,,33.88520940,-118.02031261,66.73
23,140,1.55,7.41,1.55,221.31,Girth Weld,,,,,,,,Elbow,,,8.625,680,,,,,33.88520675,-118.02033697,67.14
24,140,1.55,0.83,0.72,222.14,Bend,,,,,,03:10,45° 3D Right Forged Bend,Elbow,,,8.625,680,,,,,33.88520703,-118.02033959,67.18
25,150,1.26,1.55,1.26,222.86,Girth Weld,,,,,,,,ERW,0.250,X35,8.625,680,,,,,33.88520783,-118.02034170,67.19
26,160,42.95,1.26,42.95,224.12,Girth Weld,,,,,,,,ERW,0.250,X35,8.625,680,,,,,33.88520980,-118.02034509,67.20
27,170,48.42,42.95,48.42,267.07,Girth Weld,,,,,,,,ERW,0.250,X35,8.625,680,,,,,33.88528398,-118.02045641,67.76
28,170,48.42,3.95,44.47,271.02,Metal Loss,External,14,0.035,0.4,0.6,06:11,,ERW,0.250,X35,8.625,680,,0.363,1874,2603,33.88529094,-118.02046653,67.84
29,180,47.34,48.42,47.34,315.49,Girth Weld,,,,,,,,ERW,0.250,X35,8.625,680,09:17,,,,33.88536748,-118.02058161,67.92
30,190,47.83,47.34,47.83,362.83,Girth Weld,,,,,,,,ERW,0.250,X35,8.625,680,11:18,,,,33.88544996,-118.02070358,68.19
31,200,47.86,47.83,47.86,410.66,Girth Weld,,,,,,,,ERW,0.250,X35,8.625,680,04:07,,,,33.88553433,-118.02082548,68.94
32,210,47.67,47.86,47.67,458.52,Girth Weld,,,,,,,,ERW,0.250,X35,8.625,680,10:46,,,,33.88561848,-118.02094777,69.15
33,220,48.54,47.67,48.54,506.19,Girth Weld,,,,,,,,ERW,0.250,X35,8.625,680,,,,,33.88570248,-118.02106978,69.31
