ILI Tool,Pipe Joint Number,Approx. Milepost (miles),Approx. Map Station (ft),Odometer (ft),Feature Number,Feature Description,Distance to Nearest Weld (ft),Distance to Upstream Weld (ft),Distance to Downstream Weld (ft),Distance to Nearest AGM (ft),Distance to Upstream AGM (ft),Distance to Downstream AGM (ft),WT (in),Max Depth (%),Max Depth + Tolerance (%),Length (in),Width (in),Oreintation (Degrees),Pipe Length (ft),Long Seam Orient. (Degrees),0.85DL Safe MAOP Rating (psig),0.85DL Safe MAOP Rating + Tolerance (psig),Eff. Area B31G of API579 Safe MAOP Rating (psig),Eff. Area B31G of API579 Safe MAOP Rating + Tolerance (psig),Eff. Area B31G of API579 Burst Press. Rating (psig),Eff. Area B31G of API579 Burst Press. Rating + Tolerance (psig),Latitude NAD83,Longitude NAD83,Elevation Above Mean Sea Level NAVD88 (ft),Comments
MFLCal,3,0.00,-0+02,-1.52,1,Weld,D3.07,,3.07,U1.52,,1.52,,,,,,,3.07,,,,,,,,33.8010201,-118.2346675,34.55,
MFLCal,3,0.00,-0+01,-1.07,2,Flange,U0.45,0.45,2.62,U1.07,,1.07,,,,,,,3.07,,,,,,,,33.8010213,-118.2346671,34.55,
MFLCal,3,0.00,0+00,0.00,3,Valve,U1.52,1.52,1.56,U0.00,0.00,1368.82,,,,,,,3.07,,,,,,,,33.8010241,-118.2346660,34.55,KM Carson Launch
MFLCal,3,0.00,0+01,1.10,4,Flange,D0.46,2.61,0.46,U1.10,1.10,1367.73,,,,,,,3.07,,,,,,,,33.8010270,-118.2346650,34.56,
MFLCal,6,0.00,0+02,1.56,5,Weld,U3.07,3.07,3.17,U1.56,1.56,1367.26,0.322,,,,,,3.17,,,,,,,,33.8010283,-118.2346645,34.56,
MFLCal,6,0.00,0+04,3.72,6,Tap,D1.01,2.16,1.01,U3.72,3.72,1365.10,0.322,,,,,4,3.17,,,,,,,,33.8010340,-118.2346624,34.58,
MFLCal,7,0.00,0+05,4.73,7,Weld,D0.95,3.17,0.95,U4.73,4.73,1364.09,,,,,,,0.95,,,,,,,,33.8010366,-118.2346615,34.59,
MFLCal,7,0.00,0+05,5.18,8,Flange,U0.45,0.45,0.50,U5.18,5.18,1363.64,,,,,,,0.95,,,,,,,,33.8010378,-118.2346610,34.59,
MFLCal,9,0.00,0+06,5.68,9,Weld,U0.95,0.95,1.17,U5.68,5.68,1363.14,,,,,,,1.17,,,,,,,,33.8010391,-118.2346606,34.60,
MFLCal,9,0.00,0+07,6.31,10,Tee,D0.55,0.63,0.55,U6.31,6.31,1362.52,,,,,,91,1.17,,,,,,,,33.8010408,-118.2346600,34.60,
MFLCal,10,0.00,0+07,6.85,11,Weld,U1.17,1.17,3.32,U6.85,6.85,1361.97,,,,,,,3.32,,,,,,,,33.8010422,-118.2346594,34.54,
MFLCal,10,0.00,0+09,8.66,12,Bend,D1.52,1.81,1.52,U8.66,8.66,1360.16,,,,,,180,3.32,,,,,,,,33.8010461,-118.2346581,33.61,90° 3D Over Forged Bend
MFLCal,11,0.00,0+11,10.17,13,Weld,U3.32,3.32,5.13,U10.17,10.17,1358.65,0.322,,,,,,5.13,,,,,,,,33.8010473,-118.2346577,32.18,
MFLCal,12,0.00,0+16,15.30,14,Weld,D3.24,5.13,3.24,U15.3,15.30,1353.52,0.406,,,,,,3.24,,,,,,,,33.8010475,-118.2346578,27.04,
MFLCal,12,0.00,0+18,16.96,15,Bend,D1.58,1.66,1.58,U16.96,16.96,1351.86,0.406,,,,,0,3.24,,,,,,,,33.8010463,-118.2346604,25.71,90° 3D Sag Forged Bend
MFLCal,13,0.00,0+19,18.54,16,Weld,D1.6,3.24,1.60,U18.54,18.54,1350.28,0.322,,,,,,1.60,,,,,,,,33.8010443,-118.2346648,25.38,
