J. no.,J. len [ft],t [in],to u/s w. [ft],to d/s w. [ft],o'clock,Log Distance,Severity Rule,event,depth [%],OD Reduction,length [in],width [in],internal,ERF - 0.85dl,RPR - 0.85dl,SMYS [psi],Comment,Latitude ,Longitude 
,,,,,,-14.87,,Area Start Launcher,,,,,,,,,,47.73426170,-103.28051597
,,,,,09:00,-2.31,,Tap,,,,,,,,,,47.73426197,-103.28056749
10,2.24,0.322,,,,-1.13,,Flange,,,,,,,,52000,,47.73426196,-103.28057235
10,2.24,,,,,0.00,,Valve,,,,,,,,,Midway Launch,47.73426195,-103.28057699
20,3.18,0.322,,,,1.11,,Flange,,,,,,,,52000,,47.73426195,-103.28058154
20,3.18,,,,03:00,3.71,,Tee,,,,,,,,,,47.73426201,-103.28059223
30,2.93,0.322,,,,4.29,,Area End Launcher,,,,,,,,52000,,47.73426195,-103.28059459
30,2.93,,,,12:00,4.99,,Tap,,,,,,,,,,47.73426194,-103.28059749
30,2.93,,,,12:00,6.09,,Tap,,,,,,,,,,47.73426193,-103.28060199
40,0.36,0.322,,,,7.22,,Flange,,,,,,,,52000,,47.73426194,-103.28060663
50,1.7,0.322,,,,7.58,,Girth Weld,,,,,,,,52000,,47.73426194,-103.28060810
50,1.7,,,,,8.26,,Bend,,,,,,,,,3.2D -  45 deg - Over,47.73426192,-103.28061084
60,11.13,0.322,,,,9.28,,Girth Weld,,,,,,,,52000,,47.73426189,-103.28061427
60,11.13,,,,12:00,9.77,,Magnet,,,,,,,,,ROSEN,47.73426187,-103.28061569
70,1.58,0.322,,,,20.41,,Girth Weld,,,,,,,,52000,,47.73426159,-103.28064596
70,1.58,,,,,21.21,,Bend,,,,,,,,,2.8D -  46 deg - Sag,47.73426158,-103.28064871
80,11.1,0.322,,,,21.98,,Girth Weld,,,,,,,,52000,,47.73426161,-103.28065183
90,44.33,0.219,,,,33.08,,Girth Weld,,,,,,,,52000,,47.73426233,-103.28069739
100,26.45,0.219,,,,77.41,,Girth Weld,,,,,,,,52000,,47.73426360,-103.28087885
110,44.67,0.219,,,,103.86,,Girth Weld,,,,,,,,52000,,47.73426361,-103.28098685
120,44.43,0.219,,,,148.54,,Girth Weld,,,,,,,,52000,,47.73426570,-103.28117023
130,44.53,0.219,,,,192.96,,Girth Weld,,,,,,,,52000,,47.73426877,-103.28135266
140,44.41,0.219,,,,237.49,,Girth Weld,,,,,,,,52000,,47.73427249,-103.28153544
150,34.52,0.219,,,,281.90,,Girth Weld,,,,,,,,52000,,47.73427525,-103.28171765
160,9.79,0.219,,,,316.43,,Girth Weld,,,,,,,,52000,,47.73427714,-103.28185935
170,44.71,0.219,,,,326.22,,Girth Weld,,,,,,,,52000,,47.73427765,-103.28189955
180,43.84,0.219,,,,370.92,,Girth Weld,,,,,,,,52000,,47.73428047,-103.28208312
190,22.1,0.219,,,,414.76,,Girth Weld,,,,,,,,52000,,47.73428404,-103.28226314
200,21.95,0.219,,,,436.87,,Girth Weld,,,,,,,,52000,,47.73428631,-103.28235384
210,3.1,0.322,,,,458.82,,Girth Weld,,,,,,,,52000,,47.73428799,-103.28244396
210,3.1,,,,,460.35,,Bend,,,,,,,,,2.9D -  91 deg - Left,47.73428631,-103.28244955
220,44.55,0.322,,,,461.92,,Girth Weld,,,,,,,,52000,,47.73428235,-103.28245177
230,19.67,0.219,,,,506.47,,Girth Weld,,,,,,,,52000,,47.73415920,-103.28245512
240,44.64,0.219,,,,526.14,,Girth Weld,,,,,,,,52000,,47.73410481,-103.28245586
250,44.42,0.219,,,,570.78,,Girth Weld,,,,,,,,52000,,47.73398117,-103.28245719
260,44.52,0.219,,,,615.20,,Girth Weld,,,,,,,,52000,,47.73385806,-103.28245875
270,44.41,0.219,,,,659.73,,Girth Weld,,,,,,,,52000,,47.73373468,-103.28245998
280,44.48,0.219,,,,704.13,,Girth Weld,,,,,,,,52000,,47.73361161,-103.28246116
290,44.47,0.219,,,,748.62,,Girth Weld,,,,,,,,52000,,47.73348835,-103.28246226
300,43.78,0.219,,,,793.08,,Girth Weld,,,,,,,,52000,,47.73336513,-103.28246214
310,44.54,0.219,,,,836.86,,Girth Weld,,,,,,,,52000,,47.73324382,-103.28246178
320,43.83,0.219,,,,881.40,,Girth Weld,,,,,,,,52000,,47.73312041,-103.28246116
330,44.4,0.219,,,,925.22,,Girth Weld,,,,,,,,52000,,47.73299897,-103.28245980
340,44.61,0.219,,,,969.62,,Girth Weld,,,,,,,,52000,,47.73287598,-103.28245990
350,44.26,0.219,,,,1014.24,,Girth Weld,,,,,,,,52000,,47.73275242,-103.28246218
360,5.34,0.219,,,,1058.50,,Girth Weld,,,,,,,,52000,,47.73262987,-103.28246460
370,42.79,0.219,,,,1063.84,,Girth Weld,,,,,,,,52000,,47.73261508,-103.28246506
380,44.34,0.219,,,,1106.63,,Girth Weld,,,,,,,,52000,,47.73249649,-103.28246750
390,44.45,0.219,,,,1150.97,,Girth Weld,,,,,,,,52000,,47.73237476,-103.28246633
400,44.45,0.219,,,,1195.42,,Girth Weld,,,,,,,,52000,,47.73225202,-103.28246190
410,5.2,0.219,,,,1239.87,,Girth Weld,,,,,,,,52000,,47.73212897,-103.28245843
420,27.85,0.219,,,,1245.07,,Girth Weld,,,,,,,,52000,,47.73211458,-103.28245818
430,3.22,0.219,,,,1272.92,,Girth Weld,,,,,,,,52000,,47.73203765,-103.28245766
430,3.22,,,,,1274.59,,Bend,,,,,,,,,3.2D -  91 deg - Right,47.73203362,-103.28246065
440,23.93,0.322,,,,1276.14,,Girth Weld,,,,,,,,52000,,47.73203219,-103.28246648
450,44.8,0.322,,,,1300.07,,Girth Weld,,,,,,,,52000,,47.73203163,-103.28256449
460,44.75,0.322,,,,1344.87,,Girth Weld,,,,,,,,52000,,47.73203229,-103.28274715
470,44.8,0.322,,,,1389.62,,Girth Weld,,,,,,,,52000,,47.73203839,-103.28292945
480,44.78,0.322,,,,1434.42,,Girth Weld,,,,,,,,52000,,47.73203913,-103.28311236
490,44.77,0.322,,,,1479.20,,Girth Weld,,,,,,,,52000,,47.73203111,-103.28329545
500,44.8,0.322,,,,1523.97,,Girth Weld,,,,,,,,52000,,47.73202756,-103.28347890
510,36.01,0.322,,,,1568.77,,Girth Weld,,,,,,,,52000,,47.73202725,-103.28366240
520,3.2,0.322,,,,1604.79,,Girth Weld,,,,,,,,52000,,47.73202888,-103.28380961
520,3.2,,,,,1606.52,,Bend,,,,,,,,,3.3D -  91 deg - Left,47.73202685,-103.28381577
530,13.09,0.322,,,,1607.99,,Girth Weld,,,,,,,,52000,,47.73202317,-103.28381796
540,44.23,0.219,,,,1621.08,,Girth Weld,,,,,,,,52000,,47.73198712,-103.28381797
550,41.38,0.219,,,,1665.31,,Girth Weld,,,,,,,,52000,,47.73186549,-103.28381589
560,44.61,0.219,,,,1706.69,,Girth Weld,,,,,,,,52000,,47.73175149,-103.28381242
