Feature Number (sequential order),Pipeline Feature,Empty odl Standard featurename,INT/ EXT (ID/OD),Odometer,Station Number,Distance to U/S weld,Distance to D/S weld,Joint Length,Defect Joint Number,Upstream (U/S) Reference name,US Dist from,Downstream (D/S) Reference name ,ds distance to,Diameter,Nominal Wall Thickness,Measured Wall Thickness,Pipe Grade (SMYS),Long Seam Orientation,Metal Loss Depth,Metal Loss Depth,Deformation Depth,Deformation Depth,Crack Depth,Crack Depth,Length,Width,Orientation,MOP,Modified B31.G PBURST,Modified B31.G PSAFE,Design Pressure (72% SMYS),ERF MOP _SAFE,RPR PBURST    /      100% SMYS,Effective Area pburst,effsagepsafe,Group Number,Group Category,Nad 83 Latitude,NAD 83 Longitude,NAVD88 Elevation,Comments,POF classification,Excavation/ Repair Required,SPLC Notes,Tool Type/ Technology,Length/A (x),Width/A (y)
1,Weld - Longitudinal Seam,,,-2.17,,0,4.46,4.46,10,,,Launch Valve - Rio Bravo Station (0+00),2.17,16,0.344,,52000,,,,,,,,,,,1170,,,1610,,,,,,,,,,GIRTH WELD / E.R. WELD START,,,,MFL/CLP,,
2,Valve,,,0,00+00,2.17,2.29,4.46,10,,,Block Valve  BV 7.14 (377+16),37640.53,16,0.344,,52000,,,,,,,,,,,1170,,,1610,,,,,,,35.4344822,-119.2705426,329.7,Launch Valve - Rio Bravo Station (0+00),,,,MFL/CLP,,
3,Weld,,,2.29,00+02,4.46,2.04,2.04,20,Launch Valve - Rio Bravo Station (0+00),2.29,Block Valve  BV 7.14 (377+16),37638.24,16,0.344,,52000,,,,,,,,,,,1170,,,1610,,,,,,,35.4344822,-119.2705349,329.7,GIRTH WELD,,,,MFL/CLP,,
4,Tee,,,3.31,00+03,1.02,1.02,2.04,20,Launch Valve - Rio Bravo Station (0+00),3.31,Block Valve  BV 7.14 (377+16),37637.22,16,0.344,,52000,,,,,,,,,, 09:00,1170,,,1610,,,,,,,35.4344822,-119.2705315,329.7,16 IN OFFTAKE-FORGED,,,,MFL/CLP,,
5,Weld,,,4.33,00+04,2.04,2.04,2.04,22,Launch Valve - Rio Bravo Station (0+00),4.33,Block Valve  BV 7.14 (377+16),37636.2,16,0.344,,52000,,,,,,,,,,,1170,,,1610,,,,,,,35.4344821,-119.270528,329.7,GIRTH WELD,,,,MFL/CLP,,
6,Tee,,,5.33,00+05,1,1.04,2.04,22,Launch Valve - Rio Bravo Station (0+00),5.33,Block Valve  BV 7.14 (377+16),37635.2,16,0.344,,52000,,,,,,,,,, 03:00,1170,,,1610,,,,,,,35.434482,-119.2705247,329.7,16 IN OFFTAKE-FORGED,,,,MFL/CLP,,
7,Weld,,,6.37,00+06,2.04,3.45,3.45,25,Launch Valve - Rio Bravo Station (0+00),6.37,Block Valve  BV 7.14 (377+16),37634.16,16,0.344,,52000,,,,,,,,,,,1170,,,1610,,,,,,,35.434482,-119.2705212,329.7,GIRTH WELD,,,,MFL/CLP,,
8,Off take,,,8.01,00+08,1.63,1.81,3.45,25,Launch Valve - Rio Bravo Station (0+00),8.01,Block Valve  BV 7.14 (377+16),37632.53,16,0.344,,52000,,,,,,,,,, 12:00,1170,,,1610,,,,,,,35.4344821,-119.2705157,329.7,2 IN OFFTAKE-WELDOLET,,,,MFL/CLP,,
9,External Support,,,8.35,00+08,1.98,1.47,3.45,25,Launch Valve - Rio Bravo Station (0+00),8.35,Block Valve  BV 7.14 (377+16),37632.19,16,0.344,,52000,,,,,,,,,,,1170,,,1610,,,,,,,35.434482,-119.2705145,329.7,SUPPORT,,,,MFL/CLP,,
10,Weld - Change in wall thickness,,,9.82,00+10,3.45,4.08,4.08,27,Launch Valve - Rio Bravo Station (0+00),9.82,Block Valve  BV 7.14 (377+16),37630.72,16,0.25,,52000, 01:48,,,,,,,,,,1170,,,1170,,,,,,,35.434482,-119.2705096,329.7,GIRTH WELD NWT 0.344/0.250IN,,,,MFL/CLP,,
