Feature Number (sequential order),Vendor-Specific Feature Name,Standard Feature Name,INT/ EXT (ID/OD),Odometer,Station Number,Distance to U/S weld,Distance to D/S weld,Joint Length,Defect Joint Number,Upstream (U/S) Reference Name,Upstream (U/S) Reference Distance From,Downstream (D/S) Reference Name,Downstream (D/S) Reference Distance To,Diameter,Nominal Wall Thickness,Measured Wall Thickness,Pipe Grade (SMYS),Long Seam Orientation,Metal Loss Depth,Metal Loss Depth,Deformation Depth,Deformation Depth,Crack Depth,Crack Depth,Length,Width,Orientation,MOP,Modified B31.G Pburst,Modified B31.G Psafe,Design Pressure (72% SMYS),ERF,RPR,Effective Area Pburst,Effective Area Psafe,Group Number,Group Category,NAD 83 Latittude,NAD 83 Longititude,NAVD 88 elevation,Comments,POF classification,Excavation/ Repair Required,SPLC Notes,Tool Type/ Technology,Length/A (x),Width/A (y)
110,Weld,Weld - Longitudinal seam,,-1.5,0+00,,,3.09,,,,"Valve (Launcher), Sta. 485+11, Lost Hill 2",1.5,8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.649917,-119.745333,,,,,,MFL+DEF (xHD),,
110,Wall Thickness,Weld - Change in wall thickness,,-1.48,0+00,,,3.09,110,,,"Valve (Launcher), Sta. 485+11, Lost Hill 2",1.48,8.625,0.322,,24000,,,,,,,,,,,1440,,,,,,,,,,35.649917,-119.745333,,Wall Thickness,,,,MFL+DEF (xHD),,
10000000,Flange,Pipeline fixture,,-1.05,0+00,0.45,2.64,3.09,110,,,"Valve (Launcher), Sta. 485+11, Lost Hill 2",1.05,8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.649916,-119.7453321,,Flange,,,,MFL+DEF (xHD),,
10000001,Launch Valve,Valve,,0,485+11,1.5,1.6,3.09,110,,,"AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","2,819.42",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6499136,-119.7453302,,"Valve (Launcher), Sta. 485+11, Lost Hill 2",,,,MFL+DEF (xHD),,
10000002,Flange,Pipeline fixture,,1.14,485+10,2.64,0.46,3.09,110,"Valve (Launcher), Sta. 485+11, Lost Hill 2",1.14,"AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","2,818.29",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.649911,-119.745328,,Flange,,,,MFL+DEF (xHD),,
120,Weld,Weld - Longitudinal seam,,1.6,485+09,,,1.51,110,"Valve (Launcher), Sta. 485+11, Lost Hill 2",1.6,"AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","2,817.83",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6498821,-119.7453039,,,,,,MFL+DEF (xHD),,
10000003,Fitting,Offtake,,2.31,485+09,0.75,0.76,1.51,120,"Valve (Launcher), Sta. 485+11, Lost Hill 2",2.31,"AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","2,817.12",8.625,,,,,,,,,,,,,12:00,1440,,,,,,,,,,35.649884,-119.7453046,,Fitting on top of pipe,,,,MFL+DEF (xHD),,
130,Weld,Weld - Longitudinal seam,,3.11,485+08,,,1.16,120,"Valve (Launcher), Sta. 485+11, Lost Hill 2",3.11,"AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","2,816.32",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6498845,-119.7453048,,,,,,MFL+DEF (xHD),,
10000004,Tee,Tee,,3.19,485+07,0.49,0.67,1.16,130,"Valve (Launcher), Sta. 485+11, Lost Hill 2",3.19,"AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","2,816.23",8.625,,,,,,,,,,,,,3:00,1440,,,,,,,,,,35.6498847,-119.7453049,,Tee at 90 deg.,,,,MFL+DEF (xHD),,
140,Weld,Weld - Longitudinal seam,,4.26,485+07,,,0.89,130,"Valve (Launcher), Sta. 485+11, Lost Hill 2",4.26,"AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","2,815.16",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6498878,-119.7453062,,,,,,MFL+DEF (xHD),,
