ID,Feature,Wheel Countft,Sta. Num.ft,Depth,WTin,SMYS,Lengthin,Widthin,Orientation clock,P MOD B31G   psi,ERF MOD B31GMOPP, of max. est. oper. press PMOPbased on 1150,Dist from US weldft,Dist from DS weldft,US AGM,Dist to US AGM ft,DS AGM,Dist to DS AGM ft,Joint Lengthft,Comments,LAT,LON,ALTITUDE
110,WELD,-1.85,0+00,,,,,,,,,,,,,,,,4.16,,33.76783190,-118.20867787,25.250
110,PIPE,-1.82,0+00,,0.279,52000,,,,,,,,,,,,,4.16,Wall Thickness,33.76783190,-118.20867787,25.250
10000000,LOCATION,-1.36,0+00,,,,,,,,,,0.49,3.68,,,"Valve (Launcher), Sta. 0+00, Beta Station",1.36,4.16,Flange,33.76783190,-118.20867787,25.250
10000001,LOCATION,0,0+00,,,,,,,,,,1.85,2.32,,,"Valve, Sta. 9+80, Check Valve",889.24,4.16,"Valve (Launcher), Sta. 0+00, Beta Station",33.76783189,-118.20867790,25.250
10000002,LOCATION,1.09,0+01,,,,,,,,,,2.93,1.23,"Valve (Launcher), Sta. 0+00, Beta Station",1.09,"Valve, Sta. 9+80, Check Valve",888.15,4.16,Flange,33.76782892,-118.20867789,25.240
120,WELD,2.32,0+03,,,,,,,,,,,,,,,,0.46,,33.76782554,-118.20867790,25.250
10000003,LOCATION,2.55,0+03,,,,,,,,,,0.23,0.23,"Valve (Launcher), Sta. 0+00, Beta Station",2.55,"Valve, Sta. 9+80, Check Valve",886.69,0.46,Fitting on top of pipe,33.76782490,-118.20867790,25.250
130,WELD,2.78,0+03,,,,,,,,,,,,,,,,2.07,,33.76782427,-118.20867790,25.240
10000004,LOCATION,3.81,0+03,,,,,,,,,,1.03,1.04,"Valve (Launcher), Sta. 0+00, Beta Station",3.81,"Valve, Sta. 9+80, Check Valve",885.43,2.07,"Bend down - 46 deg., 3D",33.76782152,-118.20867788,25.080
140,WELD,4.85,0+05,,,,,,,,,,,,,,,,4.94,,33.76781905,-118.20867784,24.580
10000005,LOCATION,5.67,0+06,,,,,,,,,,0.82,4.12,"Valve (Launcher), Sta. 0+00, Beta Station",5.67,"Valve, Sta. 9+80, Check Valve",883.57,4.94,Fitting on top of pipe,33.76781736,-118.20867782,24.030
150,WELD,9.79,0+11,,,,,,,,,,,,,,,,2.00,,33.76780941,-118.20867772,21.080
10000006,LOCATION,10.82,0+11,,,,,,,,,,1.03,0.97,"Valve (Launcher), Sta. 0+00, Beta Station",10.82,"Valve, Sta. 9+80, Check Valve",878.42,2.00,"Bend up - 47 deg., 3D",33.76780718,-118.20867771,20.450
160,WELD,11.79,0+13,,,,,,,,,,,,,,,,1.55,,33.76780471,-118.20867769,20.100
10000007,LOCATION,12.56,0+14,,,,,,,,,,0.77,0.78,"Valve (Launcher), Sta. 0+00, Beta Station",12.56,"Valve, Sta. 9+80, Check Valve",876.68,1.55,Tee @ 270 - Barred,33.76780262,-118.20867768,20.020
170,WELD,13.34,0+15,,,,,,,,,,,,,,,,1.35,,33.76780048,-118.20867769,20.000
180,WELD,14.69,0+16,,,,,,,,,,,,,,,,19.72,,33.76779677,-118.20867772,19.990
180,PIPE,14.71,0+16,,0.438,52000,,,,,,,,,,,,,19.72,Wall Thickness,33.76779677,-118.20867772,19.990
10000008,LOCATION,18.07,0+20,,,,,,,,,,3.38,16.34,"Valve (Launcher), Sta. 0+00, Beta Station",18.07,"Valve, Sta. 9+80, Check Valve",871.17,19.72,Fitting on top of pipe,33.76778750,-118.20867779,19.950
10000009,LOCATION,30.93,0+34,,,,,,,,,,16.24,3.48,"Valve (Launcher), Sta. 0+00, Beta Station",30.93,"Valve, Sta. 9+80, Check Valve",858.31,19.72,Pipe support,33.76775220,-118.20867783,19.750
190,WELD,34.41,0+38,,,,,,,,,,,,,,,,1.93,,33.76774265,-118.20867775,19.690
10000010,LOCATION,35.37,0+38,,,,,,,,,,0.96,0.98,"Valve (Launcher), Sta. 0+00, Beta Station",35.37,"Valve, Sta. 9+80, Check Valve",853.87,1.93,"Bend right - 90 deg., 1.5D",33.76774022,-118.20867874,19.680
200,WELD,36.34,0+40,,,,,,,,,,,,,,,,40.32,,33.76773896,-118.20868143,19.660
10000011,LOCATION,40.82,0+45,,,,,,,,,,4.47,35.84,"Valve (Launcher), Sta. 0+00, Beta Station",40.82,"Valve, Sta. 9+80, Check Valve",848.42,40.32,Pipe support,33.76773854,-118.20869609,19.560
210,WELD,76.66,0+84,,,,,,,,,,,,,,,,44.50,,33.76773580,-118.20881386,18.800
210,PIPE,76.68,0+85,,0.365,52000,,,,,,,,,,,,,44.50,Wall Thickness,33.76773580,-118.20881386,18.800
220,WELD,121.16,1+34,,,,,,,,,,,,,,,,1.73,,33.76773126,-118.20896002,18.420
10000012,LOCATION,122.03,1+34,,,,,,,,,,0.87,0.86,"Valve (Launcher), Sta. 0+00, Beta Station",122.03,"Valve, Sta. 9+80, Check Valve",767.21,1.73,"Bend right - 43 deg., 1.5D",33.76773159,-118.20896284,18.410
230,WELD,122.89,1+35,,,,,,,,,,,,,,,,2.96,,33.76773256,-118.20896537,18.400
240,WELD,125.85,1+39,,,,,,,,,,,,,,,,0.97,,33.76773760,-118.20897300,18.380
