Feature ID,Segment Identifier,Assessment Year,Tool Type,Upstream Reference Girth Weld,Distance to Upstream Girth Weld,Absolute Distance,Distance to Downstream Girth Weld,Feature Type,Feature Identification,Surface Location,Comment,Feature Orientation,Peak Depth of Corrosion or Crack Anomaly,Peak Depth of Dent Anomaly,Length of Anomaly,Width of Anomaly,Psafe,Pburst,Pburst/MAOP,Half Life Corrosion Growth Rate,Bend Radius,Long Seam Orientation,Feature Milepost,HCA,MAOP,Pipe O.D.,Pipe Wall Thickness,SMYS,100% SMYS,Maximum Operating Stress,Safety Factor for Original DOT Design Class Location,Installation Year,"Actual Tool Speed",Maximum Allowable Tool Speed,"ILI Vendor","Tool Run Date","Distance from Upstream Girth Weld to Upstream Reference","Distance from Upstream Girth Weld to Downstream Reference","Upstream Reference Description",Downstream Reference Description,Latitude,Longitude,Z Coordinate
110,Greenville to Peters II,2015,GMFL,110,-1.76,-1.8,3.05,COMP,Girth weld,,Girth Weld - 110,,,,,,,,,,,,0.00,,850,10.75,0.365,42000,2054,41.39,0.50,0,,,T.D. Williamson,4/29/2015,0.0,0.0,,Valve (Launcher) Greenville,,,
110,Greenville to Peters II,2015,GMFL,110,0.02,-1.7,3.03,COMP,Wall Thickness,,Wall Thickness,,,,,,,,,,,,0.00,,850,10.75,0.365,42000,2054,41.39,0.50,0,,,T.D. Williamson,4/29/2015,1.8,1.8,,Valve (Launcher) Greenville,,,
110,Greenville to Peters II,2015,GMFL,110,0.48,-1.3,2.57,COMP,Flange,,Flange,,,,,,,,,,,,0.00,,850,10.75,0.365,42000,2054,41.39,0.50,0,,,T.D. Williamson,4/29/2015,1.8,1.8,,Valve (Launcher) Greenville,,,
110,Greenville to Peters II,2015,GMFL,110,1.76,0.0,1.29,COMP,Valve,,Valve (Launcher) Greenville,,,,,,,,,,,,0.00,,850,10.75,0.365,42000,2054,41.39,0.50,0,3.20,,T.D. Williamson,4/29/2015,1.8,65.0,,Valve,,,
120,Greenville to Peters II,2015,GMFL,120,3.05,1.3,1.42,COMP,Girth weld,,Girth Weld - 120,,,,,,,,,,,,0.00,,850,10.75,0.365,42000,2054,41.39,0.50,0,4.30,,T.D. Williamson,4/29/2015,1.8,65.0,Valve (Launcher) Greenville,Valve,,,
120,Greenville to Peters II,2015,GMFL,120,0.13,2.0,1.29,COMP,Tee,,Tee on top of pipe,2:45,,,,,,,,,,,0.00,,850,10.75,0.365,42000,2054,41.39,0.50,0,4.40,,T.D. Williamson,4/29/2015,1.3,61.9,Valve (Launcher) Greenville,Valve,,,
130,Greenville to Peters II,2015,GMFL,130,1.42,2.7,3.87,COMP,Girth weld,,Girth Weld - 130,,,,,,,,,,,,0.00,,850,10.75,0.365,42000,2054,41.39,0.50,0,4.60,,T.D. Williamson,4/29/2015,1.3,61.9,Valve (Launcher) Greenville,Valve,,,
130,Greenville to Peters II,2015,GMFL,130,1.58,4.4,2.29,COMP,Fitting,,Fitting on top of pipe,3:00,,,,,,,,,,,0.00,,850,10.75,0.365,42000,2054,41.39,0.50,0,4.20,,T.D. Williamson,4/29/2015,2.7,60.5,Valve (Launcher) Greenville,Valve,,,
140,Greenville to Peters II,2015,GMFL,140,3.87,6.6,2.02,COMP,Girth weld,,Girth Weld - 140,,,,,,,,,,,,0.00,,850,10.75,0.365,42000,2054,41.39,0.50,0,4.60,,T.D. Williamson,4/29/2015,2.7,60.5,Valve (Launcher) Greenville,Valve,,,
140,Greenville to Peters II,2015,GMFL,140,0.04,6.6,1.98,COMP,Bend,,"Bend down - 50 deg., 3D",,,,,,,,,,3D,,0.00,,850,10.75,0.365,42000,2054,41.39,0.50,0,4.60,,T.D. Williamson,4/29/2015,6.6,56.6,Valve (Launcher) Greenville,Valve,,,
