BHIIdentifier,PipelineFeature,INTEXTIDOD,Odometerft,DistancetoNextPipelineFeatureft,WTin,PipeGradepsi,PipeDescription,PipeDiameterin,MOPpsi,Depth,Depthin,Lengthin,Widthin,OClockOrientationhhmm,mB31GBurstpsi,ERF,EffDepth,EffLengthin,EffAreaBurstpsi,UpstreamUSReferenceName,DistanceToUSft,DownstreamDSReferenceName,DistanceFromDSReferenceft,DistancetoUSWeldft,DistancetoDSWeldft,Length2ndUSJointft,LengthUSJointft,LengthDefectJointft,DefectJointNumber,LengthDSJointft,Length2ndDSJointft,XYZInformationNAD83Latitude,XYZInformationNAD83Longitude,XYZInformationNAVD88Elevationft,Comments
VLV 5,Valve,,83141.14,18179.06,0.250,35000,ERW,8.625,600,,,,,,,,,,,AGM 18,28622.55,MLV 3,18967.68,2573.08,18179.06,15.76,1.07,20752.14,19480,37.55,42.15,33.8847319,-118.0198737,55.85,Estimated Valve 109
GWD 19490,Girth Weld,,101320.20,37.55,0.203,35000,SMLS,8.625,680,,,,,,,,,,,Estimated Valve 109,18179.06,MLV 3,788.62,20752.14,37.55,1.07,20752.14,37.55,19490,42.15,31.65,33.8877644,-118.0759239,70.65,End Bad Data|Start Section CSFM 41B|Estimated WT 0.203
GWD 19500,Girth Weld,,101357.75,42.15,0.203,35000,SMLS,8.625,680,,,,,,,,,,,Estimated Valve 109,18216.61,MLV 3,751.07,37.55,42.15,20752.14,37.55,42.15,19500,31.65,42.56,33.8877632,-118.0760404,71.13,
GWD 19510,Girth Weld,,101399.90,31.65,0.203,35000,SMLS,8.625,680,,,,,,,,,,,Estimated Valve 109,18258.76,MLV 3,708.91,42.15,31.65,37.55,42.15,31.65,19510,42.56,32.64,33.8877619,-118.0761711,72.82,
GWD 19520,Girth Weld,,101431.56,42.56,0.203,35000,SMLS,8.625,680,,,,,,,,,,,Estimated Valve 109,18290.42,MLV 3,677.26,31.65,42.56,42.15,31.65,42.56,19520,32.64,41.38,33.8877611,-118.0762692,73.87,
GWD 19530,Girth Weld,,101474.12,32.64,0.203,35000,SMLS,8.625,680,,,,,,,,,,,Estimated Valve 109,18332.98,MLV 3,634.70,42.56,32.64,31.65,42.56,32.64,19530,41.38,42.36,33.8877594,-118.0764013,74.35,
GWD 19540,Girth Weld,,101506.76,41.38,0.203,35000,SMLS,8.625,680,,,,,,,,,,,Estimated Valve 109,18365.61,MLV 3,602.06,32.64,41.38,42.56,32.64,41.38,19540,42.36,43.02,33.8877576,-118.0765026,74.58,
GWD 19550,Girth Weld,,101548.14,42.36,0.203,35000,SMLS,8.625,680,,,,,,,,,,,Estimated Valve 109,18407.00,MLV 3,560.68,41.38,42.36,32.64,41.38,42.36,19550,43.02,42.80,33.8877564,-118.0766310,74.65,
GWD 19560,Girth Weld,,101590.50,43.02,0.203,35000,SMLS,8.625,680,,,,,,,,,,,Estimated Valve 109,18449.36,MLV 3,518.32,42.36,43.02,41.38,42.36,43.02,19560,42.80,42.40,33.8877563,-118.0767625,74.37,
GWD 19570,Girth Weld,,101633.52,42.80,0.203,35000,SMLS,8.625,680,,,,,,,,,,,Estimated Valve 109,18492.38,MLV 3,475.30,43.02,42.80,42.36,43.02,42.80,19570,42.40,41.61,33.8877557,-118.0768961,74.22,
