ILI Tool,Adjstd Weld Number,Adjstd Approx Milepost,Adjstd Approx Map Station (ft),Odometer (ft),Odometer Distance to Start of Box (ft),Feature Number,Feature Description,Distance to Nearest Weld (ft),Distance to Upstream Weld (ft),Distance to Downstream Weld (ft),Distance From Top of Pipe (ft),Distance to Nearest AGM (ft),Distance to Upstream AGM (ft),Distance to Downstream AGM (ft),WT (in),Max Depth (%),Max Depth + Tolerance (%),Length (in),Width (in),Oreintation (Degrees),Pipe Length (ft),Long Seam Orient. (Degrees),0.85DL Safe MAOP Rating (psig),0.85DL Safe MAOP Rating + Tolerance (psig),Eff. Area B31G of API579 Safe MAOP Rating (psig),Eff. Area B31G of API579 Safe MAOP Rating + Tolerance (psig),Eff. Area B31G of API579 Burst Press. Rating (psig),Eff. Area B31G of API579 Burst Press. Rating + Tolerance (psig),Latitude NAD83,Longitude NAD83,Elevation Above Mean Sea Level NAVD88 (ft),Comments,Pipe Size (in),Pipe Grade ,Pipe Type,MOP (psi)
MFL,0,0.000,0+20,-1.56,,1,"Weld; Begin 0.322in Wall, API 5L X52- ERW",D3.10,,3.10,,D1.56,,1.56,0.322,,,,,,3.10,,,,,,,,35.0877742,-119.4065655,777.86,,8.625,X52,Valve,1363
MFL,0,0.000,0+17,-1.13,,2,Flange,U0.43,0.43,2.67,,D1.13,,1.13,0.322,,,,,,3.10,,,,,,,,35.0877742,-119.4065655,777.86,,8.625,X52,Valve,1363
MFL,0,,,0.00,,3,Valve Launcher - G-13 MOCO Lease,D1.54,1.56,1.54,,D5183.30,,5183.30,0.322,,,,,,3.10,,,,,,,,35.0877742,-119.4065654,777.86,,8.625,X52,Valve,1363
MFL,0,0.000,0+19,1.09,,4,Flange,D0.46,2.65,0.46,,U1.09,1.09,5182.21,0.322,,,,,,3.10,,,,,,,,35.0877738,-119.4065613,777.81,,8.625,X52,Valve,1363
MFL,1,0.001,0+21,1.54,,5,Weld,D0.96,3.10,0.96,,U1.54,1.54,5181.76,0.322,,,,,,0.96,,,,,,,,35.0877736,-119.4065598,777.79,,8.625,X52,ERW,1363
MFL,1,,,2.04,,6,Tap,D0.47,0.50,0.47,0.13,U2.04,2.04,5181.26,0.322,,,,,20,0.96,,,,,,,,35.0877734,-119.4065581,777.76,,8.625,X52,ERW,1363
MFL,2,0.001,0+24,2.51,,7,Weld,U0.96,0.96,3.10,,U2.51,2.51,5180.80,0.322,,,,,,3.10,,,,,,,,35.0877734,-119.4065565,777.70,,8.625,X52,Elbow,1363
MFL,2,0.001,0+23,4.08,,8,Bend - 90° 3D Left Over Forged Bend,D1.53,1.57,1.53,,U4.08,4.08,5179.23,0.322,,,,,203,3.10,,,,,,,,35.0877752,-119.4065517,777.06,,8.625,X52,Elbow,1363
MFL,3,0.002,0+29,5.60,,9,Weld,U3.10,3.10,5.70,,U5.60,5.60,5177.70,0.322,,,,,,5.70,,,,,,,,35.0877787,-119.4065505,776.14,,8.625,X52,ERW,1363
MFL,4,0.002,0+29,11.31,,10,Weld,D0.59,5.70,0.59,,U11.31,11.31,5172.00,0.322,,,,,,0.59,,,,,,,,35.0877918,-119.4065490,772.71,,8.625,X52,Elbow,1363
MFL,4,0.002,0+29,11.61,,11,Bend - 15° 3D Sag Forged Bend,D0.29,0.30,0.29,,U11.61,11.61,5171.70,0.322,,,,,338,0.59,,,,,,,,35.0877925,-119.4065490,772.59,,8.625,X52,Elbow,1363
MFL,5,0.002,0+31,11.90,,12,Weld,U0.59,0.59,2.14,,U11.90,11.90,5171.41,0.322,,,,,,2.14,,,,,,,,35.0877932,-119.4065490,772.48,,8.625,X52,ERW,1363
MFL,6,0.003,0+32,14.04,,13,Weld,D1.22,2.14,1.22,,U14.04,14.04,5169.27,0.322,,,,,,1.22,,,,,,,,35.0877985,-119.4065486,771.68,,8.625,X52,Tee,1363
MFL,6,,,14.63,,14,Tee,U0.59,0.59,0.63,1.71,U14.63,14.63,5168.68,0.322,,,,,273,1.22,,,,,,,,35.0878000,-119.4065485,771.46,,8.625,X52,Tee,1363
MFL,7,0.003,0+33,15.26,,15,Weld,D1.13,1.22,1.13,,U15.26,15.26,5168.04,0.322,,,,,,1.13,,,,,,,,35.0878016,-119.4065484,771.24,,8.625,X52,ERW,1363
