ILI Tool,Adjstd Weld Number,Adjstd Milepost,Adjstd Sta,Odometer (ft),Odometer Distance to Start of Box (ft),Feature Number,Feature Description,Distance to Nearest Weld (ft),Distance to Upstream Weld (ft),Distance to Downstream Weld (ft),Distance From Top of Pipe (ft),Distance to Nearest AGM (ft),Distance to Upstream AGM (ft),Distance to Downstream AGM (ft),WT (in),Max Depth (%),Max Depth + Tolerance (%),Length (in),Width (in),Oreintation (Degrees),Pipe Length (ft),Long Seam Orient. (Degrees),0.85DL Safe MAOP Rating (psig),0.85DL Safe MAOP Rating + Tolerance (psig),Eff. Area B31G of API579 Safe MAOP Rating (psig),Eff. Area B31G of API579 Safe MAOP Rating + Tolerance (psig),Eff. Area B31G of API579 Burst Press. Rating (psig),Eff. Area B31G of API579 Burst Press. Rating + Tolerance (psig),Latitude NAD83,Longitude NAD83,Elevation Above Mean Sea Level NAVD88 (ft),Comments,Pipe Size (in),Pipe Grade ,Pipe Type,MOP (psi)
MFL,6,,,-1.53,,1,"Weld; Begin 0.322in Wall, API 5L  X42 - Valve",U0.00,,3.08,,D1.53,,1.53,0.322,,,,,,3.08,,,,,,,,33.8002949,-118.2326648,46.1,,8.625,X42,Valve,698
MFL,6,,,-1.07,,2,Flange,U0.46,0.46,2.61,,D1.07,,1.07,0.322,,,,,,3.08,,,,,,,,33.8002951,-118.2326657,46.0,,8.625,X42,Valve,698
MFL,6,,,0.00,,3,Valve Launcher,U1.53,1.53,1.55,,D10.56,,10.56,0.322,,,,,,3.08,,,,,,,,33.8002956,-118.2326675,45.9,,8.625,X42,Valve,698
MFL,6,,,1.07,,4,Flange,D0.48,2.60,0.48,,U1.07,1.07,9.49,0.322,,,,,,3.08,,,,,,,,33.8002966,-118.2326722,45.5,,8.625,X42,Valve,698
MFL,14,,,1.55,,5,"Weld; Begin 0.406in Wall, API 5L  X42 - Tee",D1.26,3.08,1.26,,U1.55,1.55,9.01,0.406,,,,,,1.26,,,,,,,,33.8002970,-118.2326737,45.3,,8.625,X42,Tee,698
MFL,14,,,2.07,,6,Tee,U0.52,0.52,0.74,1.74,U2.07,2.07,8.49,0.406,,,,,277,1.26,,,,,,,,33.8002973,-118.2326752,45.2,,8.625,X42,Tee,698
MFL,15,,,2.81,,7,"Weld; Begin 0.322in Wall, API 5L  X42 - ERW",U1.26,1.26,2.62,,U2.81,2.81,7.75,0.322,,,,,,2.62,01:40,,,,,,,33.8002978,-118.2326770,45.0,,8.625,X42,ERW,698
MFL,15,,,3.27,,8,Tap,U0.47,0.47,2.16,2.23,U3.27,3.27,7.28,0.322,,,,,355,2.62,,,,,,,,33.8002981,-118.2326783,44.9,,8.625,X42,ERW,698
MFL,15,,,3.90,,9,Tap,U1.09,1.09,1.53,2.21,U3.90,3.90,6.66,0.322,,,,,352,2.62,,,,,,,,33.8002985,-118.2326801,44.7,,8.625,X42,ERW,698
MFL,15,,,4.44,,10,Tap,D0.99,1.64,0.99,2.21,U4.44,4.44,6.11,0.322,,,,,352,2.62,,,,,,,,33.8002988,-118.2326815,44.6,,8.625,X42,ERW,698
MFL,16,,,5.43,,11,"Weld; Begin 0.344in Wall, API 5L  X35 - Elbow",D1.60,2.62,1.60,,D5.13,5.43,5.13,0.344,,,,,,1.60,,,,,,,,33.8002995,-118.2326845,44.2,,8.625,X35,Elbow,698
MFL,16,,,6.22,,12,Bend - 45.8° 3D Over Forged Bend,U0.79,0.79,0.81,,D4.34,6.22,4.34,0.344,,,,,,1.60,,,,,,,,33.8003000,-118.2326868,43.6,,8.625,X35,Elbow,698
