Global GW,Tool,Weld Number,Approx. Milepost (miles),"Approx. Map Station
 (ft)",Odometer (ft),Feature Number,Feature Description,"Distance to Nearest Weld 
(ft)","Distance to Upstream Weld 
(ft)","Distance to Downstream Weld 
(ft)","Distance to Nearest AGM 
(ft)","Distance to Upstream AGM
 (ft)","Distance to Downstream AGM  
(ft)","Wall Thickness of Joint or Boxed Metal Loss Anomaly (Median)
 (in)","Wall Thickness of Joint Only (Median) 
(in)",Max Depth (% from Joint Median),Max Depth +Tool Tolerance (% from Joint Median),"Dent Depth
 (%)",Length (in),"Width 
(in)",Orient. (deg),Pipe Lnth (ft),Long Seam Orient. (deg),"B31G mod Using Median Thickness Psafe 
(psi)","B31Gmod Using Median Thickness +Tool Tolerance Psafe 
(psi)","B31G Eff. Area Using Median Thickness Psafe 
(psi)","B31G Eff. Area Using Median Thickness +Tool Tolerance 
Psafe
 (psi)","B31G Eff. Area Using Median Thickness Pfailure 
(psi)","B31G Eff. Area Using Median Thickness +Tool Tolerance Pfailure 
(psi)",Lattitude NAD83,Longitude NAD83,"Elevation Above Mean Sea Level NAVD88
 (ft)",Comments,Valid Thickness Data Percent,Feature Type (Int/Ext/Mid),Depth of Feature (From Joint Median) (in),Depth Sizing Tolerance (in),Depth of Feature (From Joint Median +Tool Tolerance) (in),"Thickness Minimum Measured for Metal Loss (Minus Tool Tolerance) 
(in)","Thickness Minimum Measured (Tmm) 
(in)",API 579 MAOPr (psi),API 579 RSF,Piping Specifications,SMYS (ksi),MAOP Design (psi),"Nominal Pipe Diameter, OD 
(in)",T Median Measured (in),T Mean Measured (in),Distance from Launcher (ft),Station Position (ft),"Radius Inside (Median) 
(in)","Radius Inside (Mean)
 (in)","Radius Inside (Min)
 (in)",T Nominal (in),,,,,
,,,,,-8.36,Start,Data Start,,,,,,,,,,,,,,,,,,,,,,,,,,Start of Data Set,,,,,,,,,,,,,,,,-8.36,,,,,,,,,,
10,InVista,2,0.022,1+18,-7.70,GW10,Weld,U0.67,0.67,1.96,,,20.55,0.364,0.364,,,,,,,1.96,280,,,,,,,,,,,79.1,,,,,,0.346,"2,258",0.908,API 5L (X-42); ASME B31.4; SMYS=42000; Pdesign=0,42,"2,258",8.625,0.364,0.372,-7.70,118.30,5.041,5.042,2.692,0.322,,,,,
20,InVista,3,0.023,1+20,-5.74,GW20,Weld,U1.96,1.96,2.55,,,18.59,0.305,0.305,,,,,,,2.55,,,,,,,,,,,Begin Inspection,87.8,,,,,,0.260,"2,189",0.873,API 5L (X-42); ASME B31.4; SMYS=42000; Pdesign=0,42,"2,258",8.625,0.305,0.309,-5.74,120.26,5.108,5.104,2.723,0.322,,,,,
20,InVista,3,0.023,1+22,-3.71,TP,Tap,D0.52,2.03,0.52,,,16.56,,,,,,0.58,0.89,356,,,,,,,,,,,,,,,,,,,,,,API 5L (X-42); ASME B31.4; SMYS=42000; Pdesign=0,42,,,,,-3.71,122.29,5.105,5.035,3.436,0.322,,,,,
30,InVista,4,0.023,1+23,-3.19,GW30,Weld; Begin 0.365 in wall. API 5L (X-42) Seamless,D0.30,2.55,0.30,,,16.03,0.362,0.362,,,,,,,0.30,,,,,,,,,,,"End 10.750"" Pipe",34.0,,,,,,0.328,"2,054",0.903,API 5L (X-42); ASME B31.4; SMYS=42000; Pdesign=0,42,"2,054",10.750,0.362,0.397,-3.19,122.81,5.027,4.956,2.913,0.365,,,,,
30,InVista,5,0.023,1+23,-2.89,PT,Pipe Transition,D0.29,0.30,0.29,,,15.74,0.339,0.339,,,,,,,,,,,,,,,,,,"10.750"" x 8.625"" Reducer",28.5,,,,,,0.292,"2,258",0.912,API 5L (X-42); ASME B31.4; SMYS=42000; Pdesign=0,42,"2,258",8.625,0.339,0.391,-2.89,123.11,4.017,4.166,3.025,0.322,,,,,
40,InVista,6,0.023,1+23,-2.60,GW40,Weld,U0.29,0.29,1.05,,,15.45,0.315,0.315,,,,,,,1.05,289,,,,,,,,,,"Begin 8.625"" Pipe",95.5,,,,,,0.295,"2,258",0.923,API 5L (X-42); ASME B31.4; SMYS=42000; Pdesign=0,42,"2,258",8.625,0.315,0.317,-2.60,123.40,4.005,4.002,2.779,0.322,,,,,
50,InVista,7,0.024,1+24,-1.55,GW50,Weld,D0.46,1.05,0.46,,,14.40,1.307,1.307,,,,,,,0.46,,,,,,,,,,,,1.2,,,,,,1.203,"2,258",0.992,API 5L (X-42); ASME B31.4; SMYS=42000; Pdesign=0,42,"2,258",8.625,1.307,1.405,-1.55,124.45,4.008,4.006,2.878,0.322,,,,,
50,InVista,8,0.024,1+25,-1.09,FL60,Flange,U0.46,0.46,0.46,,,13.94,1.319,1.319,,,,,,,0.46,,,,,,,,,,,,1.4,,,,,,1.202,"2,258",0.994,API 5L (X-42); ASME B31.4; SMYS=42000; Pdesign=0,42,"2,258",8.625,1.319,1.468,-1.09,124.91,4.005,4.004,3.527,0.322,,,,,
60,InVista,9,0.024,1+25,-0.63,GW70,Weld,D0.30,0.46,0.30,,,13.48,0.316,0.316,,,,,,,0.30,,,,,,,,,,,,95.6,,,,,,0.279,"2,258",0.911,API 5L (X-42); ASME B31.4; SMYS=42000; Pdesign=0,42,"2,258",8.625,0.316,0.326,-0.63,125.37,4.014,4.015,2.831,0.322,,,,,
70,InVista,10,0.024,1+26,-0.33,GW80,Weld,U0.30,0.30,0.61,,,13.18,1.697,1.697,,,,,,,0.61,,,,,,,,,,,Begin Valve Setting,2.7,,,,,,1.401,"2,237",0.892,API 5L (X-42); ASME B31.4; SMYS=42000; Pdesign=0,42,"2,258",8.625,1.697,1.697,-0.33,125.67,4.046,4.047,2.885,0.322,,,,,
70,InVista,10,0.024,1+26,0.00,VC,Valve (Circ),D0.29,0.33,0.29,,,12.85,,,,,,,,,,,,,,,,,33.80029550,-118.23266750,45.9,Launcher - Kinder Morgan (Valve Name: Scraper Trap/Launcher Valve-GATX),,,,,,,,,,API 5L (X-42); ASME B31.4; SMYS=42000; Pdesign=0,42,,,,,0.00,126.00,,,,0.322,,,,,
80,InVista,11,0.024,1+26,0.29,GW90,Weld,D0.36,0.61,0.36,,,12.56,0.313,0.313,,,,,,,0.36,,,,,,,,33.80029560,-118.23266802,45.5,End Valve Setting,94.6,,,,,,0.290,"2,258",0.903,API 5L (X-42); ASME B31.4; SMYS=42000; Pdesign=0,42,"2,258",8.625,0.313,0.322,0.29,126.25,4.018,4.018,3.990,0.322,,,,,
90,InVista,12,0.024,1+27,0.65,GW100,Weld,U0.36,0.36,0.46,,,12.20,1.412,1.412,,,,,,,0.46,,,,,,,,33.80029574,-118.23266875,45.0,,1.7,,,,,,1.200,"2,258",0.982,API 5L (X-42); ASME B31.4; SMYS=42000; Pdesign=0,42,"2,258",8.625,1.412,1.544,0.65,126.57,4.004,4.005,3.285,0.322,,,,,
90,InVista,13,0.024,1+27,1.11,FL110,Flange,D0.42,0.46,0.42,,,11.74,1.331,1.331,,,,,,,0.42,,,,,,,,33.80029590,-118.23266958,44.4,,1.7,,,,,,1.201,"2,258",0.980,API 5L (X-42); ASME B31.4; SMYS=42000; Pdesign=0,42,"2,258",8.625,1.331,1.463,1.11,126.97,4.008,4.006,3.819,0.322,,,,,
100,InVista,14,0.024,1+27,1.53,GW120,Weld; Begin 0.406 in wall. API 5L (X-42) Seamless,U0.42,0.42,1.15,,,11.32,0.440,0.440,,,,,,,1.15,,,,,,,,33.80029606,-118.23267042,43.8,,23.9,,,,,,0.395,"2,847",0.923,API 5L (X-42); ASME B31.4; SMYS=42000; Pdesign=0,42,"2,847",8.625,0.440,0.483,1.53,127.34,4.219,4.178,3.159,0.406,,,,,
100,InVista,14,0.024,1+27,1.70,TE,Tee,U0.16,0.16,0.99,,,11.15,,,,,,10.49,9.44,210,,,,,,,,,33.80029611,-118.23267062,43.6,"Barred, (Tee Type: Anti-Foul)",,,,,,,,,,API 5L (X-42); ASME B31.4; SMYS=42000; Pdesign=0,42,,,,,1.70,127.48,4.237,4.271,3.657,0.406,,,,,
110,InVista,15,0.024,1+28,2.69,GW130,Weld; Begin 0.322 in wall. API 5L (X-42) LongSeam,U1.15,1.15,2.67,,,10.16,0.315,0.315,,,,,,,2.67,46,,,,,,,33.80029648,-118.23267249,42.3,,92.6,,,,,,0.299,"2,258",0.940,API 5L (X-42); ASME B31.4; SMYS=42000; Pdesign=0,42,"2,258",8.625,0.315,0.321,2.69,128.35,3.999,3.994,2.757,0.322,,,,,
110,InVista,15,0.024,1+29,3.25,TP,Tap,U0.56,0.56,2.11,,,9.60,,,,,,1.32,0.89,1,,,,,,,,,33.80029714,-118.23267501,42.2,,,,,,,,,,,API 5L (X-42); ASME B31.4; SMYS=42000; Pdesign=0,42,,,,,3.25,128.84,3.787,3.806,3.467,0.322,,,,,
110,InVista,15,0.025,1+29,3.86,TP,Tap,U1.17,1.17,1.50,,,8.99,,,,,,0.68,0.48,360,,,,,,,,,33.80029777,-118.23267760,41.9,,,,,,,,,,,API 5L (X-42); ASME B31.4; SMYS=42000; Pdesign=0,42,,,,,3.86,129.37,3.995,3.952,3.650,0.322,,,,,
110,InVista,15,0.025,1+30,4.31,TP,Tap,D1.05,1.62,1.05,,,8.54,,,,,,1.85,1.69,352,,,,,,,,,33.80029824,-118.23267949,41.8,,,,,,,,,,,API 5L (X-42); ASME B31.4; SMYS=42000; Pdesign=0,42,,,,,4.31,129.76,3.964,3.822,3.445,0.322,,,,,
120,InVista,16,0.025,1+31,5.35,GW140,Weld; Begin 0.344 in wall. API 5L (X-42) Seamless,D1.51,2.67,1.51,,,7.49,0.333,0.333,,,,,,,1.51,,,,,,,,33.80029930,-118.23268429,42.1,,34.1,,,,,,0.305,"2,412",0.933,API 5L (X-42); ASME B31.4; SMYS=42000; Pdesign=0,42,"2,412",8.625,0.333,0.389,5.35,130.68,3.961,3.966,2.548,0.344,,,,,
120,InVista,16,0.025,1+31,6.12,BD,Bend; Air Entrainment from Tap at 12:00,D0.74,,,,,6.73,,,,,,,,,,,,,,,,,33.80030009,-118.23268761,42.0,Air Entrainment from Tap at 12:00,,,,,,,,,,API 5L (X-42); ASME B31.4; SMYS=42000; Pdesign=0,42,,,,,6.12,131.35,,,,0.344,,,,,
