Feature Number (sequential order),Pipeline Feature,INT/ EXT (ID/OD),Odometer,Station Number,Distance to U/S weld,Distance to D/S weld,Joint Length,Defect Joint Number,Upstream (U/S) Reference Name,UpStreamDistanceFrom,DownstreamName,DownstreamDistanceTo,Diameter,Nominal Wall Thickness,Measured Wall Thickness,Pipe Grade (SMYS),Long Seam Orientation,Metal Loss Depth,Metal Loss Depth,Deformation Depth,Deformation Depth,Crack Depth,Crack Depth,Length,Width,Orientation,MOP,Modified B31.G PBURST,Modified B31.G PSAFE,Design Pressure (72% SMYS),ERF_MOP_SAFE,RPR_PBURST_100_SMYS,Effective Area P Burst,Effective Area P Safe,Group Number,Group Category,NAD 83 Latitude,NAD 83 Longitude,NAVD 88,Comments,POF Classification,Excavation/ Repair Required,SPLC Notes,Tool Type/ Technology,Length/A (x),Width/A (y)
1,Weld - Longitudinal Seam (ERW),,-1.88,142+74,0.00,3.68,3.68,10,,,Bakersfield Station (142+76),1.88,10.75,0.365,,60000,,,,,,,,,,,1402,,,,,,,,,,,,,GIRTH WELD / E.R. WELD START,,,,MFL/CLP,,
2,Valve,,0.00,142+76,1.88,3.68,3.68,10,,,Block Valve #4.46 (232+30),8927.91,10.75,0.365,,60000,,,,,,,,,,,1402,,,,,,,,,,35.37640730,-119.08348497,119.602,Bakersfield Station (142+76),,,,MFL/CLP,,
3,Weld,,1.80,142+78,3.68,2.68,2.68,20,Bakersfield Station (142+76),1.80,Block Valve #4.46 (232+30),8926.12,10.75,0.365,,60000,,,,,,,,,,,1402,,,,,,,,,,35.37640736,-119.08347896,119.570,GIRTH WELD,,,,MFL/CLP,,
4,External Support,,2.13,142+78,0.34,2.68,2.68,20,Bakersfield Station (142+76),2.13,Block Valve #4.46 (232+30),8925.78,10.75,0.365,,60000,,,,,,,,,,,1402,,,,,,,,,,35.37640738,-119.08347784,119.563,SUPPORT,,,,MFL/CLP,,
5,Offtake,,2.16,142+78,0.36,2.68,2.68,20,Bakersfield Station (142+76),2.16,Block Valve #4.46 (232+30),8925.76,10.75,0.365,,60000,,,,,,,,,, 12:00,1402,,,,,,,,,,35.37640737,-119.08347776,119.563,1.0 IN OFFTAKE-WELDOLET,,,,MFL/CLP,,
6,Offtake,,2.95,142+79,1.16,2.68,2.68,20,Bakersfield Station (142+76),2.95,Block Valve #4.46 (232+30),8924.96,10.75,0.365,,60000,,,,,,,,,, 12:00,1402,,,,,,,,,,35.37640740,-119.08347509,119.548,1.5 IN OFFTAKE-WELDOLET,,,,MFL/CLP,,
7,Offtake,,3.69,142+80,1.90,2.68,2.68,20,Bakersfield Station (142+76),3.69,Block Valve #4.46 (232+30),8924.22,10.75,0.365,,60000,,,,,,,,,, 12:00,1402,,,,,,,,,,35.37640742,-119.08347260,119.543,1.0 IN OFFTAKE-WELDOLET,,,,MFL/CLP,,
8,Weld,,4.48,142+80,2.68,1.39,1.39,30,Bakersfield Station (142+76),4.48,Block Valve #4.46 (232+30),8923.44,10.75,0.365,,60000,,,,,,,,,,,1402,,,,,,,,,,35.37640745,-119.08346996,119.535,GIRTH WELD,,,,MFL/CLP,,
9,Offtake,,5.24,142+81,0.76,1.39,1.39,30,Bakersfield Station (142+76),5.24,Block Valve #4.46 (232+30),8922.67,10.75,0.365,,60000,,,,,,,,,, 09:00,1402,,,,,,,,,,35.37640751,-119.08346741,119.530,10 IN OFFTAKE-FORGED,,,,MFL/CLP,,
10,Weld - Bend Begin,,5.87,142+82,1.39,4.17,4.17,40,Bakersfield Station (142+76),5.87,Block Valve #4.46 (232+30),8922.04,10.75,0.365,,60000,,,,,,,,,,,1402,,,,,,,,,,35.37640751,-119.08346530,119.516,GIRTH WELD,,,,MFL/CLP,,
