Feature Number (sequential order),Pipeline Feature,INT/ EXT (ID/OD),Odometer,Station Number,Distance to U/S weld,Distance to D/S weld,Joint Length,Defect Joint Number,Upstream (U/S) Reference Name,UpStreamDistanceFrom,DownstreamName,DownstreamDistanceTo,Diameter,Nominal Wall Thickness,Measured Wall Thickness,Pipe Grade (SMYS),Long Seam Orientation,Metal Loss Depth,Metal Loss Depth,Deformation Depth,Deformation Depth,Crack Depth,Crack Depth,Length,Width,Orientation,MOP,Modified B31.G PBURST,Modified B31.G PSAFE,Design Pressure (72% SMYS),ERF_MOP_SAFE,RPR_PBURST_100_SMYS,Effective Area P Burst,Effective Area P Safe,Group Number,Group Category,NAD 83 Latitude,NAD 83 Longitude,NAVD 88,Comments,POF Classification,Excavation/ Repair Required,SPLC Notes,Tool Type/ Technology,Length/A (x),Width/A (y)
2469,Weld,,50528.06,651+49,33.84,38.36,38.36,14480,Block Valve #13 (625+92),2611.22,Block Valve #17.6 (932+02),27944.57,10.75,0.203,,52000,,,,,,,,,,,1402,,,,,,,,,,35.25663664,-119.07448515,103.874,GIRTH WELD,,,,MFL/CLP,,
2470,Repair - Welded Sleeve End,,50529.96,651+51,1.89,38.36,38.36,14480,Block Valve #13 (625+92),2613.11,Block Valve #17.6 (932+02),27942.67,10.75,0.203,,52000,,,,,,,,,,,1402,,,,,,,,,,35.25663142,-119.07448521,103.886,REPAIR-SHELL END,,,,MFL/CLP,,
2471,Anomaly - Corrosion,EXT,50536.60,651+58,8.54,29.82,38.36,14480,Block Valve #13 (625+92),2619.76,Block Valve #17.6 (932+02),27936.03,10.75,0.203,,52000,,19,0.04,,,,,0.2,0.2, 03:32,1402,2338,1683,1414,0.833,1.190,2337.2,1682.8,,,35.25661304,-119.07448541,103.928,EXT ML,Pinhole,,,MFL/CLP,,
2472,Anomaly - Corrosion,EXT,50539.89,651+61,11.82,26.54,38.36,14480,Block Valve #13 (625+92),2623.04,Block Valve #17.6 (932+02),27932.74,10.75,0.203,,52000,,23,0.05,,,,,0.3,0.2, 04:04,1402,2334,1680,1414,0.835,1.188,2331.9,1678.9,,,35.25660396,-119.07448549,103.942,EXT ML,Pinhole,,,MFL/CLP,,
2473,Anomaly - Corrosion,EXT,50545.35,651+67,17.28,21.08,38.36,14480,Block Valve #13 (625+92),2628.50,Block Valve #17.6 (932+02),27927.28,10.75,0.203,,52000,,15,0.03,,,,,0.2,0.2, 06:19,1402,2340,1685,1414,0.832,1.191,2339.3,1684.3,,,35.25658888,-119.07448562,103.960,EXT ML,Pinhole,,,MFL/CLP,,
2474,Anomaly - Corrosion,EXT,50545.35,651+67,17.28,21.08,38.36,14480,Block Valve #13 (625+92),2628.50,Block Valve #17.6 (932+02),27927.28,10.75,0.203,,52000,,21,0.04,,,,,0.2,0.2, 09:15,1402,2339,1684,1414,0.833,1.191,2338.1,1683.5,,,35.25658888,-119.07448562,103.960,EXT ML,Pinhole,,,MFL/CLP,,
2475,Anomaly - Corrosion,EXT,50546.05,651+67,17.99,20.38,38.36,14480,Block Valve #13 (625+92),2629.20,Block Valve #17.6 (932+02),27926.58,10.75,0.203,,52000,,16,0.03,,,,,0.2,0.2, 05:32,1402,2340,1684,1414,0.832,1.191,2339.1,1684.2,,,35.25658694,-119.07448564,103.961,EXT ML,Pinhole,,,MFL/CLP,,
2476,Anomaly - Corrosion,EXT,50547.43,651+69,19.36,19.00,38.36,14480,Block Valve #13 (625+92),2630.58,Block Valve #17.6 (932+02),27925.21,10.75,0.203,,52000,,15,0.03,,,,,0.4,0.7, 06:43,1402,2334,1681,1414,0.834,1.189,2332.7,1679.5,,,35.25658315,-119.07448567,103.959,EXT ML,Pitting,,,MFL/CLP,,
2477,Anomaly - Corrosion,EXT,50548.24,651+70,20.18,18.19,38.36,14480,Block Valve #13 (625+92),2631.39,Block Valve #17.6 (932+02),27924.39,10.75,0.203,,52000,,15,0.03,,,,,0.4,0.4, 06:04,1402,2336,1682,1414,0.834,1.189,2334.4,1680.7,,,35.25658089,-119.07448569,103.957,EXT ML,Pinhole,,,MFL/CLP,,
2478,Anomaly - Corrosion,EXT,50548.33,651+70,20.26,18.10,38.36,14480,Block Valve #13 (625+92),2631.48,Block Valve #17.6 (932+02),27924.30,10.75,0.203,,52000,,16,0.03,,,,,0.4,0.3, 08:51,1402,2335,1681,1414,0.834,1.189,2333.8,1680.3,,,35.25658065,-119.07448569,103.957,EXT ML,Pinhole,,,MFL/CLP,,
