ILI Tool,PBF_ID,Adjstd Weld Number,Adjstd Milepost,Adjstd Sta,STA Diff,ODO Diff,Multiplier,Odometer (ft),Odometer Distance to Start of Box (ft),Feature Number,Feature Description,Distance to Nearest Weld (ft),Distance to Upstream Weld (ft),Distance to Downstream Weld (ft),Distance From Top of Pipe (ft),Distance to Nearest AGM (ft),Distance to Upstream AGM (ft),Distance to Downstream AGM (ft),WT (in),Max Depth (%),Max Depth + Tolerance (%),Length (in),Width (in),Oreintation (Degrees),Pipe Length (ft),Long Seam Orient. (Degrees),0.85DL Safe MAOP Rating (psig),0.85DL Safe MAOP Rating + Tolerance (psig),Eff. Area B31G of API579 Safe MAOP Rating (psig),Eff. Area B31G of API579 Safe MAOP Rating + Tolerance (psig),Eff. Area B31G of API579 Burst Press. Rating (psig),Eff. Area B31G of API579 Burst Press. Rating + Tolerance (psig),Latitude NAD83,Longitude NAD83,Elevation Above Mean Sea Level NAVD88 (ft),Comments,Pipe Size (in),Pipe Grade ,Pipe Type,MOP (psi)
MFL,71,21,0.172,9+06.7,,,,910.64,,70,Weld,D61.13,61.24,61.13,,U910.64,910.64,2539.39,0.250,,,,,,61.13,,,,,,,,39.5958283,-75.6301835,47.0,,16.000,X56,ERW,960
MFL,72,21,0.174,9+12.7,,,,916.66,916.64,71,ML Cluster Ext,U6.03,6.03,55.11,1.58,U916.66,916.66,2533.37,0.250,17,27,0.47,0.96,136,61.13,,1481,1478,1480,1476,2056,2050,39.5958449,-75.6301834,47.1,,16.000,X56,ERW,960
MFL,73,21,0.184,9+67.4,,,,971.23,971.22,72,ML Cluster Ext,D0.54,60.59,0.54,1.88,U971.23,971.23,2478.80,0.250,11,21,0.47,1.29,162,61.13,,1482,1480,1482,1478,2058,2053,39.5959946,-75.6301820,47.1,,16.000,X56,ERW,960
MFL,74,22,0.184,9+68.0,,,,971.77,,73,Weld,D61.10,61.13,61.10,,U971.77,971.77,2478.26,0.250,,,,,,61.10,,,,,,,,39.5959961,-75.6301820,47.1,,16.000,X56,ERW,960
MFL,75,22,0.184,9+68.5,,,,972.32,972.29,74,ML Cluster Ext,U0.55,0.55,60.55,2.09,U972.32,972.32,2477.71,0.250,17,27,1.49,3.85,180,61.10,,1451,1426,1457,1431,2024,1988,39.5959977,-75.6301820,47.1,,16.000,X56,ERW,960
MFL,76,23,0.196,10+29.2,,,,1032.87,,75,Weld,U61.10,61.10,61.29,,U1032.87,1032.87,2417.16,0.250,,,,,,61.29,,,,,,,,39.5961640,-75.6301799,46.4,,16.000,X56,ERW,960
MFL,77,24,0.207,10+90.7,,,,1094.15,,76,Weld,D61.23,61.29,61.23,,U1094.15,1094.15,2355.88,0.250,,,,,,61.23,,,,,,,,39.5963323,-75.6301769,44.7,,16.000,X56,ERW,960
MFL,78,24,0.219,11+51.0,,,,1154.32,,77,Hard Spot,D1.07,60.17,1.07,2.97,U1154.32,1154.32,2295.71,0.250,,,1.18,5.02,255,61.23,,,,,,,,39.5964969,-75.6301736,39.9,,16.000,X56,ERW,960
MFL,79,24,0.219,11+51.6,,,,1154.85,,78,Hard Spot,D0.54,60.69,0.54,3.24,U1154.85,1154.85,2295.19,0.250,,,2.71,8.88,279,61.23,,,,,,,,39.5964984,-75.6301736,39.9,,16.000,X56,ERW,960
MFL,80,25,0.219,11+52.1,,,,1155.38,,79,Weld,U61.23,61.23,61.30,,U1155.38,1155.38,2294.65,0.250,,,,,,61.30,,,,,,,,39.5964998,-75.6301736,39.8,,16.000,X56,ERW,960
MFL,81,25,0.219,11+52.8,,,,1156.14,,80,Hard Spot,U0.75,0.75,60.55,0.06,U1156.14,1156.14,2293.89,0.250,,,2.39,14.81,6,61.30,,,,,,,,39.5965019,-75.6301736,39.7,,16.000,X56,ERW,960
MFL,82,25,0.219,11+53.1,,,,1156.40,,81,Hard Spot,U1.02,1.02,60.28,3.90,U1156.40,1156.40,2293.63,0.250,,,0.74,5.38,336,61.30,,,,,,,,39.5965026,-75.6301736,39.7,,16.000,X56,ERW,960
MFL,83,26,0.230,12+13.6,,,,1216.68,,82,Weld,D61.24,61.30,61.24,,U1216.68,1216.68,2233.35,0.250,,,,,,61.24,,,,,,,,39.5966667,-75.6301710,31.8,,16.000,X56,ERW,960
MFL,84,26,0.230,12+13.7,,,,1216.82,1216.81,83,ML Cluster Ext Weld Adjacent,U0.14,0.14,61.10,2.10,U1216.82,1216.82,2233.21,0.250,28,38,1.14,3.35,181,61.24,,1445,1425,1447,1425,2010,1979,39.5966672,-75.6301710,31.8,Weld Adjacent = 3.75 x sqrt (pipe radius x wall thickness),16.000,X56,ERW,960
MFL,85,26,0.231,12+13.9,,,,1217.07,1217.06,84,ML Cluster Ext Weld Adjacent,U0.39,0.39,60.86,1.55,U1217.07,1217.07,2232.96,0.250,23,33,0.43,1.02,133,61.24,,1480,1477,1479,1475,2054,2048,39.5966678,-75.6301709,31.7,Weld Adjacent = 3.75 x sqrt (pipe radius x wall thickness),16.000,X56,ERW,960
MFL,86,26,0.231,12+14.0,,,,1217.16,1217.14,85,ML Ext Weld Adjacent,U0.47,0.47,60.77,1.87,U1217.16,1217.16,2232.88,0.250,12,22,0.43,0.61,161,61.24,,1483,1480,1482,1479,2058,2054,39.5966681,-75.6301709,31.7,Weld Adjacent = 3.75 x sqrt (pipe radius x wall thickness),16.000,X56,ERW,960
MFL,87,26,0.231,12+14.2,,,,1217.34,1217.33,86,ML Ext,U0.66,0.66,60.58,2.25,U1217.34,1217.34,2232.69,0.250,18,28,0.24,0.38,193,61.24,,1484,1483,1484,1483,2061,2059,39.5966686,-75.6301709,31.7,,16.000,X56,ERW,960
MFL,88,26,0.231,12+14.5,,,,1217.60,,87,Hard Spot,U0.92,0.92,60.33,4.18,U1217.60,1217.60,2232.43,0.250,,,2.94,18.18,359,61.24,,,,,,,,39.5966693,-75.6301709,31.7,,16.000,X56,ERW,960
MFL,89,26,0.236,12+43.3,,,,1246.37,,88,8° 35.5D Sag Right Cold Bend,U29.69,29.69,31.55,,U1246.37,1246.37,2203.66,0.250,,,,,35,61.24,,,,,,,,39.5967476,-75.6301684,27.8,,16.000,X56,ERW,960
