BHIIdentifier,PipelineFeature,INTEXTIDOD,Odometerft,DistancetoNextPipelineFeatureft,WTin,PipeGradepsi,PipeDescription,PipeDiameterin,MOPpsi,Depth,Depthin,Lengthin,Widthin,OClockOrientationhhmm,mB31GBurstpsi,ERF,EffDepth,EffLengthin,EffAreaBurstpsi,UpstreamUSReferenceName,DistanceToUSReferenceft,DownstreamDSReferenceName,DistanceFromDSReferenceft,DistancetoUSWeldft,DistancetoDSWeldft,Length2ndUSJointft,LengthUSJointft,LengthDefectJointft,DefectJointNumber,LengthDSJointft,Length2ndDSJointft,XYZInformationNAD83Latitude,XYZInformationNAD83Longitude,XYZInformationNAVD88Elevationft,Comments
AGM 1,Above Ground Marker,,-0.56,0.00,0.219,35000,ERW,6.625,715,,,,,,,,,,,,,AGM 1,1752.33,,0.00,,,,,1.38,3.16,33.6722106,-118.0192782,39.67,Launcher Door 10' 6: U/S of Launcher Valve
GWD 10,Girth Weld,,-0.56,0.65,0.219,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,0.00,AGM 1,1752.33,,1.38,,,1.38,10,3.16,4.90,33.6722106,-118.0192782,39.67,First Recorded Girth Weld
TEE 1,Tee,,0.08,0.73,0.219,35000,ERW,8.625,715,,,9.863,9.863,3:00,,,,,,Launcher Door,0.65,AGM 1,1751.68,0.65,0.73,,,1.38,10,3.16,4.90,33.6722120,-118.0192769,39.68,Start Section CSFM 825
GWD 20,Girth Weld,,0.82,1.80,0.219,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,1.38,AGM 1,1750.95,1.38,3.16,,1.38,3.16,20,4.90,3.27,33.6722136,-118.0192754,39.66,
BND 1,Bend,,2.62,1.36,0.219,35000,ERW,8.625,715,,,39.077,,,,,,,,Launcher Door,3.18,AGM 1,1749.15,1.80,1.36,,1.38,3.16,20,4.90,3.27,33.6722167,-118.0192717,39.00,3.0D 90.3 deg right turn over bend
GWD 30,Girth Weld,,3.97,4.90,0.219,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,4.54,AGM 1,1747.79,3.16,4.90,1.38,3.16,4.90,30,3.27,1.63,33.6722173,-118.0192697,37.81,
GWD 40,Girth Weld,,8.87,1.80,0.219,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,9.44,AGM 1,1742.89,4.90,3.27,3.16,4.90,3.27,40,1.63,3.83,33.6722146,-118.0192666,33.05,
BND 2,Bend,,10.68,1.47,0.219,35000,ERW,8.625,715,,,38.867,,,,,,,,Launcher Door,11.24,AGM 1,1741.09,1.80,1.46,3.16,4.90,3.27,40,1.63,3.83,33.6722149,-118.0192643,31.43,3.0D 89.1 deg left turn sag bend
GWD 50,Girth Weld,,12.14,1.63,0.219,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,12.71,AGM 1,1739.62,3.27,1.63,4.90,3.27,1.63,50,3.83,39.24,33.6722173,-118.0192612,30.77,
GWD 60,Girth Weld,,13.78,1.35,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,14.34,AGM 1,1737.99,1.63,3.83,3.27,1.63,3.83,60,39.24,37.84,33.6722208,-118.0192579,30.69,
TAP 1,TAP,,15.13,2.48,0.280,35000,ERW,8.625,715,,,,,11:44,,,,,,Launcher Door,15.70,AGM 1,1736.63,1.35,2.48,3.27,1.63,3.83,60,39.24,37.84,33.6722236,-118.0192551,30.65,
GWD 70,Girth Weld,,17.61,26.52,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,18.17,AGM 1,1734.16,3.83,39.24,1.63,3.83,39.24,70,37.84,1.14,33.6722288,-118.0192500,30.57,
BND 3,Bend,,44.12,12.72,0.280,35000,ERW,8.625,715,,,46.996,,,,,,,,Launcher Door,44.69,AGM 1,1707.64,26.52,12.72,1.63,3.83,39.24,70,37.84,1.14,33.6722845,-118.0191953,29.10,48.5D 5.7 deg sag bend
GWD 80,Girth Weld,,56.85,37.84,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,57.41,AGM 1,1694.92,39.24,37.84,3.83,39.24,37.84,80,1.14,1.57,33.6723111,-118.0191690,29.28,
GWD 90,Girth Weld,,94.68,1.14,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,95.25,AGM 1,1657.08,37.84,1.14,39.24,37.84,1.14,90,1.57,1.83,33.6723909,-118.0190912,29.15,
GWD 100,Girth Weld,,95.82,0.89,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,96.39,AGM 1,1655.94,1.14,1.57,37.84,1.14,1.57,100,1.83,3.27,33.6723933,-118.0190889,29.09,
BND 4,Bend,,96.71,0.68,0.280,35000,ERW,8.625,715,,,24.774,,,,,,,,Launcher Door,97.27,AGM 1,1655.06,0.89,0.69,37.84,1.14,1.57,100,1.83,3.27,33.6723951,-118.0190871,29.22,3.0D 45.4 deg left turn sag bend
GWD 110,Girth Weld,,97.39,1.83,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,97.96,AGM 1,1654.37,1.57,1.83,1.14,1.57,1.83,110,3.27,0.94,33.6723964,-118.0190859,29.54,
GWD 120,Girth Weld,,99.22,1.51,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,99.79,AGM 1,1652.54,1.83,3.27,1.57,1.83,3.27,120,0.94,36.57,33.6723994,-118.0190833,30.74,
BND 5,Bend,,100.73,1.76,0.280,35000,ERW,8.625,715,,,36.202,,,,,,,,Launcher Door,101.29,AGM 1,1651.03,1.51,1.76,1.57,1.83,3.27,120,0.94,36.57,33.6724005,-118.0190799,31.69,3.0D 89.7 deg right turn over bend
GWD 130,Girth Weld,,102.49,0.94,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,103.06,AGM 1,1649.27,3.27,0.94,1.83,3.27,0.94,130,36.57,40.93,33.6723986,-118.0190750,32.14,
GWD 140,Girth Weld,,103.44,36.57,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,104.00,AGM 1,1648.33,0.94,36.57,3.27,0.94,36.57,140,40.93,40.57,33.6723969,-118.0190727,32.18,
GWD 150,Girth Weld,,140.01,40.93,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,140.57,AGM 1,1611.76,36.57,40.93,0.94,36.57,40.93,150,40.57,40.98,33.6723302,-118.0189845,32.45,
GWD 160,Girth Weld,,180.94,40.57,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,181.50,AGM 1,1570.83,40.93,40.57,36.57,40.93,40.57,160,40.98,41.01,33.6722570,-118.0188843,32.13,
GWD 170,Girth Weld,,221.51,40.98,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,222.07,AGM 1,1530.26,40.57,40.98,40.93,40.57,40.98,170,41.01,40.88,33.6721858,-118.0187835,32.29,
GWD 180,Girth Weld,,262.49,41.01,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,263.05,AGM 1,1489.28,40.98,41.01,40.57,40.98,41.01,180,40.88,40.90,33.6721143,-118.0186812,32.40,
GWD 190,Girth Weld,,303.50,40.88,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,304.06,AGM 1,1448.27,41.01,40.88,40.98,41.01,40.88,190,40.90,40.91,33.6720433,-118.0185784,32.50,
GWD 200,Girth Weld,,344.38,40.90,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,344.95,AGM 1,1407.38,40.88,40.90,41.01,40.88,40.90,200,40.91,40.92,33.6719735,-118.0184748,32.79,
GWD 210,Girth Weld,,385.29,0.43,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,385.85,AGM 1,1366.48,40.90,40.91,40.88,40.90,40.91,210,40.92,36.26,33.6719112,-118.0183648,32.73,
DMA 1,Metal Loss,Ext,385.71,10.50,0.280,35000,ERW,8.625,715,42,0.117,0.860,0.602,5:32,2792,0.356,42,0.86,2755,Launcher Door,386.28,AGM 1,1366.05,0.43,40.48,40.88,40.90,40.91,210,40.92,36.26,33.6719106,-118.0183636,32.72,
DMA 2,Metal Loss,Ext,396.22,29.98,0.280,35000,ERW,8.625,715,21,0.058,0.633,0.581,6:08,2892,0.343,21,0.63,2886,Launcher Door,396.78,AGM 1,1355.55,10.93,29.98,40.88,40.90,40.91,210,40.92,36.26,33.6718957,-118.0183344,32.58,
GWD 220,Girth Weld,,426.19,40.92,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,426.76,AGM 1,1325.57,40.91,40.92,40.90,40.91,40.92,220,36.26,3.03,33.6718553,-118.0182497,32.08,
GWD 230,Girth Weld,,467.11,36.26,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,467.68,AGM 1,1284.65,40.92,36.26,40.91,40.92,36.26,230,3.03,40.97,33.6717970,-118.0181366,31.39,
GWD 240,Girth Weld,,503.38,1.51,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,503.94,AGM 1,1248.39,36.26,3.03,40.92,36.26,3.03,240,40.97,40.97,33.6717365,-118.0180435,30.56,
BND 6,Bend,,504.88,1.52,0.280,35000,ERW,8.625,715,,,35.717,,,,,,,,Launcher Door,505.45,AGM 1,1246.88,1.51,1.52,40.92,36.26,3.03,240,40.97,40.97,33.6717353,-118.0180389,30.45,3.0D 83.1 deg left turn over bend
GWD 250,Girth Weld,,506.40,40.97,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,506.97,AGM 1,1245.36,3.03,40.97,36.26,3.03,40.97,250,40.97,41.09,33.6717369,-118.0180345,30.30,
GWD 260,Girth Weld,,547.38,7.58,0.280,35000,ERW,8.625,715,,,,,,,,,,,Launcher Door,547.94,AGM 1,1204.39,40.97,40.97,3.03,40.97,40.97,260,41.09,40.60,33.6718189,-118.0179443,29.33,
