ILI Tool,Pipe Joint Number,Approx. Milepost (miles),Adjstd Map Sta (ft) (CDS),Odometer (ft),Odometer Distance to Peak Depth (ft),Feature Number,Feature Description,Distance to Nearest Weld (ft),Distance to Upstream Weld (ft),Distance to Downstream Weld (ft),Distance to Nearest AGM (ft),Distance to Upstream AGM (ft),Distance to Downstream AGM (ft),WT (in),Max Depth (%),Length (in),Width (in),Oreintation (Degrees),Oreintation Peak Depth (Degrees),Pipe Length (ft),Long Seam Orient. (Degrees),0.85DL Safe MAOP Rating (psig),Eff. Area B31G of API579 Safe MAOP Rating (psig),Eff. Area B31G of API579 Burst Press. Rating (psig),Max Depth + Tolerance (%),0.85DL Safe MAOP Rating + Tolerance (psig),Eff. Area B31G of API579 Safe MAOP Rating + Tolerance (psig),Eff. Area B31G of API579 Burst Press. Rating + Tolerance (psig),Latitude NAD83,Longitude NAD83,Elevation Above Mean Sea Level NAVD88 (ft),Comments,Pipe Size (in),Pipe Grade ,Pipe Type,MOP (psi)
MFL,10,0.000,-0+02,-1.54,,1,"Weld; Begin 0.322in Wall, API 5L X52- ERW",,,3.07,,,1.54,0.322,,,,,,3.07,,,,,,,,,35.0877746,-119.4065704,777.88,,8.625,X52,Valve,1363
MFL,10,0.000,-0+01,-1.12,,2,Flange,U0.42,0.42,2.65,,,1.12,0.322,,,,,,3.07,,,,,,,,,35.0877745,-119.4065690,777.87,,8.625,X52,Valve,1363
MFL,10,0.000,0+00,0.00,,3,Valve Launcher - G-13 MOCO Lease,D1.53,1.54,1.53,U0.00,0.00,5193.01,0.322,,,,,,3.07,,,,,,,,,35.0877742,-119.4065653,777.86,,8.625,X52,Valve,1363
MFL,10,0.000,0+01,1.08,,4,Flange,D0.45,2.62,0.45,U1.08,1.08,5191.93,0.322,,,,,,3.07,,,,,,,,,35.0877740,-119.4065618,777.84,,8.625,X52,Valve,1363
MFL,20,0.000,0+02,1.53,,5,Weld,D0.96,3.07,0.96,U1.53,1.53,5191.48,0.322,,,,,,0.96,,,,,,,,,35.0877739,-119.4065603,777.83,,8.625,X52,ERW,1363
MFL,20,0.000,0+02,2.02,,6,Tap,D0.47,0.49,0.47,U2.02,2.02,5190.99,0.322,,,,353,,0.96,,,,,,,,,35.0877738,-119.4065586,777.82,,8.625,X52,ERW,1363
MFL,30,0.000,0+02,2.49,,7,Weld,U0.96,0.96,3.01,U2.49,2.49,5190.52,0.322,,,,,,3.01,,,,,,,,,35.0877737,-119.4065571,777.81,,8.625,X52,Elbow,1363
MFL,30,0.001,0+04,4.00,,8,Bend - 90° 3D Left Over Forged Bend,U1.50,1.50,1.51,U4.00,4.00,5189.02,0.322,,,,225,,3.01,,,,,,,,,35.0877749,-119.4065527,777.41,,8.625,X52,Elbow,1363
MFL,40,0.001,0+05,5.51,,9,Weld,U3.01,3.01,5.74,U5.51,5.51,5187.51,0.322,,,,,,5.74,,,,,,,,,35.0877779,-119.4065511,776.53,,8.625,X52,ERW,1363
MFL,50,0.002,0+11,11.25,,10,Weld,D0.50,5.74,0.50,U11.25,11.25,5181.77,0.322,,,,,,0.50,,,,,,,,,35.0877904,-119.4065498,773.06,,8.625,X52,Elbow,1363
MFL,50,0.002,0+11,11.49,,11,Bend - 15° 3D Sag Forged Bend,U0.24,0.24,0.26,U11.49,11.49,5181.52,0.322,,,,0,,0.50,,,,,,,,,35.0877910,-119.4065498,772.95,,8.625,X52,Elbow,1363
MFL,60,0.002,0+12,11.75,,12,Weld,U0.50,0.50,2.22,U11.75,11.75,5181.27,0.322,,,,,,2.22,,,,,,,,,35.0877916,-119.4065497,772.84,,8.625,X52,ERW,1363
MFL,70,0.003,0+14,13.97,,13,Weld,D1.15,2.22,1.15,U13.97,13.97,5179.05,0.322,,,,,,1.15,,,,,,,,,35.0877972,-119.4065491,771.96,,8.625,X52,Tee,1363
MFL,70,0.003,0+14,14.51,,14,Tee,U0.55,0.55,0.60,U14.51,14.51,5178.50,0.322,,,,255,,1.15,,,,,,,,,35.0877986,-119.4065490,771.76,,8.625,X52,Tee,1363
MFL,80,0.003,0+15,15.11,,15,Weld,D1.14,1.15,1.14,U15.11,15.11,5177.90,0.322,,,,,,1.14,,,,,,,,,35.0878001,-119.4065488,771.53,,8.625,X52,ERW,1363
MFL,90,0.003,0+16,16.25,,16,Weld,U1.14,1.14,18.23,U16.25,16.25,5176.76,0.322,,,,,,18.23,,,,,,,,,35.0878030,-119.4065485,771.09,,8.625,X52,ERW,1363
MFL,100,0.006,0+34,34.48,,17,Weld,D0.29,18.23,0.29,U34.48,34.48,5158.54,0.322,,,,,,0.29,,,,,,,,,35.0878490,-119.4065436,764.17,,8.625,X52,Elbow,1363
MFL,100,0.006,0+34,34.64,,18,Bend - 17.7° 1.5D Sag Forged Bend,D0.13,0.16,0.13,U34.64,34.64,5158.38,0.322,,,,0,,0.29,,,,,,,,,35.0878494,-119.4065435,764.14,,8.625,X52,Elbow,1363
