Tool,"Weld
Number","Approx.
Milepost
(miles)","Approx. 
Map Station 
(ft)","Odometer
(ft)","Feature
Number",Feature Description,"Distance to
Nearest
Weld
(ft)","Distance
to
Upstream
Weld
(ft)","Distance
to
Down-
Stream
Weld
(ft)","Distance
to
Nearest
AGM
(ft)","Distance
to
Upstream
AGM
(ft)","Distance
to Down-
Stream
AGM
(ft)","WT
(in)","Max
Depth
(%)","Seam Weld
Interaction","Length
(in)","Width
(in)","Orient
(deg)","Pipe
Length
(ft)","Long
Seam
Orient
(deg)",Adjacent to Long Seam,"0.85DL 
B31.G 
Safe MAOP 
Rating 
(psig)","Eff. Area 
Safe MAOP 
Rating 
(psig)","Eff. Area 
Burst Press. 
Rating 
(psig)","Max
Depth w/ Tolerance 
(%)","0.85DL
B31.G
Safe MAOP
Rating w/
Tolerance
(psig)","Eff. Area
Safe MAOP
Rating w/
Tolerance
(psig)","Eff. Area
Burst Press.
Rating w/
Tolerance
(psig)","Latitude 
NAD83","Longitude 
NAD83","Elevation 
Above Sea Level 
(ft) NAVD88",Comments/Rationale,Multiple Apex Dent
MFL,,-0.009,00+00,-45.24,12000000,Begin Run Tickle,,,,,,,0.000,,,,,,,,,,,,,,,,35.0875497,-119.4052413,764.4,,
MFL,0,0.000,00+00,-1.51,,WELD - WT Change - Begin 0.322 ERW,,,,,,,0.322,,,,,,3.09,,,,,,,,,,35.0875497,-119.4052413,764.4,,
MFL,,0.000,00+00,-1.04,10000000,Flange,U0.47,0.47,,,,,0.322,,,,,,,,,,,,,,,,35.0875497,-119.4052413,764.4,,
MFL,,0.000,06+44,0.00,10000001,Valve (Launch) Launcher - 06+44 - MOCO LAUNCHER,U1.51,1.51,,,,,0.322,,,,,,,,,,,,,,,,35.0875496,-119.4052413,764.4,,
MFL,,0.000,06+45,1.11,10000002,Flange 1,D0.47,2.62,0.47,U1.11,1.11,5.87,0.322,,,,,,,,,,,,,,,,35.0875455,-119.4052400,764.4,,
MFL,1,0.000,06+45,1.58,,WELD,,,,,,,0.322,,,,,,1.14,,,,,,,,,,35.0875444,-119.4052397,764.4,,
MFL,,0.000,06+46,2.13,10000003,Tee 1,U0.56,0.56,0.58,U2.13,2.13,4.85,0.322,,,10,9,67,,,,,,,,,,,35.0875440,-119.4052396,764.4,,
MFL,2,0.001,06+46,2.71,,WELD,,,,,,,0.322,,,,,,1.61,,,,,,,,,,35.0875415,-119.4052389,764.3,,
MFL,,0.001,06+47,3.44,10000004,"Bend down - 48 deg., 1.5D",U0.73,0.73,0.88,U3.44,3.44,3.54,0.322,,,,,,,,,,,,,,,,35.0875397,-119.4052384,764.1,,
MFL,3,0.001,06+48,4.32,,WELD,,,,,,,0.322,,,,,,3.77,,,,,,,,,,35.0875378,-119.4052379,763.7,,
MFL,,0.001,06+50,6.98,10000005,"SP - 1 - TOP 8"" PIPE @ GROUND",D1.11,2.66,1.11,U6.98,6.98,4512.74,0.322,,,,,,,,,,,,,,,,35.0875327,-119.4052366,761.7,,
MFL,4,0.002,06+51,8.09,,WELD,,,,,,,0.322,,,,,,9.42,,,,,,,,,,35.0875306,-119.4052361,761.0,,
MFL,,0.002,06+54,12.96,10000006,"Bend up - 49 deg., 7D ",D4.55,4.87,4.55,U5.98,5.98,4506.76,0.322,,,,,,,,,,,,,,,,35.0875205,-119.4052335,758.0,,
MFL,5,0.003,06+60,17.51,,WELD - WT Change - Begin 0.25 ERW,,,,,,,0.250,,,,,,34.06,,,,,,,,,,35.0875086,-119.4052300,757.6,,
MFL,,0.004,06+64,22.09,10000007,Tap,U4.58,4.58,29.48,U15.11,15.11,4497.63,0.250,,,1,2,0,,,,,,,,,,,35.0874964,-119.4052263,757.7,,
MFL,,0.007,06+77,35.99,40000000,ml-ext,D15.58,18.48,15.58,U29.01,29.01,4483.73,0.250,21,N,0.36,0.48,179,,,N,2162,2160,3000,31,2156,2153,2990,35.0874596,-119.4052151,758.0,,
MFL,,0.007,06+77,36.09,40000001,ml-ext,D15.47,18.58,15.47,U29.11,29.11,4483.63,0.250,10,N,0.57,0.66,94,,,N,2161,2160,3000,20,2151,2146,2981,35.0874593,-119.4052150,758.0,,
MFL,6,0.010,06+91,51.57,,WELD,,,,,,,0.250,,,,,,63.06,,,,,,,,,,35.0874183,-119.4052023,758.3,,
MFL,7,0.022,07+48,114.63,,WELD,,,,,,,0.250,,,,,,63.06,,,,,,,,,,35.0872536,-119.4051406,759.2,,
MFL,,0.023,07+52,119.05,40000002,ml-ext,U4.42,4.42,58.64,U112.07,112.07,4400.67,0.250,10,N,0.30,0.33,138,,,N,2168,2167,3010,20,2165,2164,3005,35.0872423,-119.4051354,759.3,,
MFL,,0.027,07+76,144.83,40000003,ml-int,U30.20,30.20,32.86,U137.85,137.85,4374.89,0.250,10,N,0.53,1.31,178,,,N,2163,2161,3002,20,2154,2150,2986,35.0871771,-119.4051027,759.5,,
MFL,8,0.034,08+05,177.69,,WELD,,,,,,,0.250,,,,,,62.81,,,,,,,,,,35.0870967,-119.4050541,760.0,,
MFL,,0.035,08+10,183.08,40000004,ml-int,U5.39,5.39,57.42,U176.10,176.10,4336.65,0.250,10,N,0.80,0.67,130,,,N,2154,2150,2987,20,2134,2127,2954,35.0870838,-119.4050452,760.1,,
MFL,,0.039,08+31,205.39,40000005,ml-int,U27.70,27.70,35.11,U198.41,198.41,4314.33,0.250,10,N,0.86,0.82,163,,,N,2151,2148,2983,20,2129,2121,2945,35.0870317,-119.4050067,760.4,,
MFL,9,0.046,08+62,240.50,,WELD,,,,,,,0.250,,,,,,62.76,,,,,,,,,,35.0869522,-119.4049414,761.5,,
MFL,10,0.057,09+20,303.26,,WELD,,,,,,,0.250,,,,,,62.84,,,,,,,,,,35.0868154,-119.4048154,763.2,,
MFL,11,0.069,09+77,366.10,,WELD,,,,,,,0.250,,,,,,63.16,,,,,,,,,,35.0866801,-119.4046866,764.1,,
